stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,15.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.79,5.31,0,0.84,0,0,0,1.01,0,0,0,0,0,0,0,0,0,9.54,0,0,0,220.89,7.5,0,0,0,0,0,0,0,0.98,409.49,0,0,0,0,0
 24-34,0,0.6,1.36,6.83,3.39,0,18.26,0,0,0,0,0,0,1.01,0.87,0.63,0,0,0,0,7.36,0,0,11.02,4097.28,1.76,0.64,2.88,0,0,1.5,0,0,0.66,2055.94,0,0,9.85,0,0
 36-46,0,0,0,5.6,1.05,0,237.63,2.11,1.04,1.71,11.74,0.61,0,0.84,0,0,0,0,0,0,25.05,0,2.72,5.44,9618.7,13.11,2.47,0,0,0,2.23,12.65,0,0,3145.19,0,0,8.6,0,3.17
 48-58,0,0,0,31.48,0.47,0,1377.05,1.78,9.15,1.12,77.05,0,0,0,0,3.62,0,0.6,2.14,3.91,55.01,0,1.23,13.32,12664.93,4.06,2.3,0,0,0,17.87,0,0,0,2714.79,0,0,8.73,0,6.91
 60-70,0,0,0,21.77,0,0,5174.02,0.81,4.83,1.99,27.3,0,5.9,2.43,2.39,0,15.28,0,1.41,20.98,105.9,2.49,9.41,4.29,18922.78,1.73,0.9,1.53,0,0,19.63,2.18,0,0,2786.02,0,0.79,14.39,4.04,27.73
 72-82,0,0,0,73.73,9.36,0,6549.96,0,0,10.61,141.53,9.98,0,0,5.93,1.09,0,1.07,0,1.63,115.38,1.8,0,2.86,20113.51,0,1.23,3.06,0,1.55,10.89,0,0,0,1204.93,8.97,6.77,12.05,0,20.13
 84-94,0,0,0,148.13,2.24,0,5015.73,0.68,1.55,3.63,233.15,3.72,0,0,2.83,0.75,19.09,0,5.75,26.13,83.15,0.89,13.7,13.7,13783.67,0.65,2.26,28.18,0,0,16.84,3.22,0,0,1109.27,6.37,11.26,0.61,2.92,1.56
 96-106,0,0,1.03,60,30.68,0,4200.79,4.44,2.43,9.62,159.59,1.33,0,2.95,16.11,0.75,1.5,0.99,8.48,0,67.59,0,0,4.68,11376.99,0,6.06,3.89,0,0,36.92,0,5.23,0,366.18,7.65,7.29,11.23,0.81,25.96
108-118,0,1.74,0,89.9,16.18,0,3455.99,2.6,0.51,3.5,249.22,3.03,0,0.56,3.56,1.7,0,0,0.48,0,50.8,0,0,7.91,11609.42,0.6,4.04,3.99,0,0,11.23,2.5,0,0,239.26,9.06,0,16.82,1.69,16.4
120,0,0,1.66,104.55,3.8,8.41,3179.88,2.29,17.06,6.63,189.37,3.4,0,1.85,1,0,7.72,3.39,11.31,0,129.61,0,0,9.59,17701.41,0,23,3.14,0,0,7.14,0,0,0,195.27,11.34,0,4.18,0,13.4
