stage,blastomeres,immune,liver,mesenchyme,mural.cell,neural,paraxial.mesoderm,periderm,taste,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,17.06,0,0,0,0
  5-6,12.81,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,10.21,0,0,0,0,0,0
 10-12,0,0,0,0,0,8.09,4.14,0,0,0,0,0
 14-21,0,0,0,2.19,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.63
 36-46,0,2.06,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0.4,0,0,0,0,0,0
 60-70,0,1.28,0,0,0,0,0,0,0,0,0,0
 72-82,0,3.34,2.73,0,0,0,0,0,0,0,0.58,0
 84-94,0,2.26,0.56,0,0,0,0,0,0.71,0,0,0
 96-106,0,5.18,4.52,2.82,0,0,0,0,0,1.03,0,0
108-118,0,3.73,3.26,1.25,0,0,0,0,0,0,0,0
120,0,10.9,0,0,13.09,0,0,0,0,0,0,0
