stage,blastomeres,eye,fin_mesenchyme,glial,immune,ionocyte,lateral_line,mesenchyme,neural,paraxial_mesoderm,periderm,spinal_cord
  3-4,12.03,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,12.62,0,0,0
 10-12,0,4.26,0,0,0,0,0,0,12.3,6.14,0,0
 24-34,0,0.88,0,0,0,0.77,0,0,2.34,0,0,0
 36-46,0,0,0,0,0,0,0,0,4.21,0,0,0
 48-58,0,0,0,0.4,0,0,0,0,2.14,0,2.11,0
 60-70,0,1.5,0,0,0,0,0,0,2.73,0,0,0.96
 72-82,0,0,0,0,0,0,0.97,0,3.72,0,0,0
 84-94,0,0,0,0,0.65,0,0,2.45,0,0,0,1.88
 96-106,0,2.03,0,0,0,0,0,0,1.31,0,0,0
108-118,0,0,0.99,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,5.93,0,0,0
