stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,29.97,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,4.59,0,0,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,15.23,0,7.36,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,6.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,7.88,0,0,0,0,0,0
 14-21,0,0,0,0,0,29.65,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05,0,0,0,0.9,0,2.64,0,0,0,0
 24-34,0,0,0,0.59,0,159.68,0,0,0,0,0,0,0,0,0,12.55,0,0,0.81,17.99,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,118.17,0,0,0,0,0,0,0,0,0,7.09,0,0,0,6.02,0,0,0,0,0,0,0.9,0,0,0
 48-58,0,0,0,14.5,0,272.82,0,0,0,0,0,0,0,0,0,0,4.79,0,0,13.73,0,0,0.89,0,0,0,0.51,0,0,0
 60-70,0,0,0,0,2.26,597.11,0,0,6.37,0,0,0,0,0.75,2.25,1.32,1.75,0,0,14.26,0,0,5.4,0,0,0,0,0,0,0
 72-82,0,0,0,0.75,0,856.2,0,0,1.08,0,0,0,0,0,11.61,0,7.45,1.44,0.58,31.39,0,0,10.42,0,0,0,2.12,0,0.95,0
 84-94,0,1.55,0,1.73,6.07,2498.96,0,0,1.8,0.97,0,0.8,0.67,2.02,13,1.02,19.82,0,0,24.83,0,0,76.3,0,5.1,0,0,2.17,2.27,8.08
 96-106,0,0.87,0,5.18,19.01,2714.04,0,3.25,4.85,1.56,0,0,0,6.72,90.93,0,17.22,1.13,0,65.52,1.92,0,245.01,0,0,0,8.28,0,0,2.75
108-118,0,0,0,13.92,1.09,4176.16,1.16,1.14,5.63,7.96,0,0,1.56,8.05,167.17,10.88,16.05,1.6,1.32,58.5,0,0,128.54,0,0,0,1.58,0,2.62,9.13
120,0,0,0,2.98,2.32,1660.11,0,4.68,20.17,0,0,0,0,0,78.22,3.99,14.13,0,2.05,52.59,0,0,55.37,0,0,0,0,0,0,0
