stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.18,39.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,9.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.61,0,0,0,4.23,0,0,0,0,0,0,0,0
 10-12,0,0,0,10.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.14,0,0,0,0,0,3.31,0,0,0,0,0,0.89,1.79,0,0,0,0,0
 24-34,0,0,0,0,67.66,0,0,1.11,0,0,0,0,0,0.76,0,0.69,0,52.3,0,2.35,1.24,0,0,13.73,0,0,1.59,0,0,0,0.96,0,0,0,0,0
 36-46,0,0,0,0,158.71,0,0,0.56,0,18.33,0,0,0,0,0,0,0,85.15,0,1.54,2.36,0,0,22.63,0,7.84,8.18,0,0,0,3.47,0,0,0,0,0
 48-58,0,0,0,0,215.59,0,0,11.64,0,17.97,0,0.76,0,0,0,0,0,133.61,2.22,3.63,2.11,0,0.38,29.52,0,0.41,8.28,0,8.46,0,3.06,0,0.42,0,0,0
 60-70,0,0,0,0,320.66,0,0,10.44,0,23.29,0.86,2.24,0,0,0,1.45,0,169.65,0,16.15,1.37,0,1.06,40.01,0,2.03,7.38,0,0,0,3.76,6.61,0,0,0,0
 72-82,0,0,0,0,289.76,0,0,31.05,0,32.6,0,12.56,3.98,0,0,8.43,0,258.15,1.2,10.89,1.23,0,0,30.49,0,17.18,3.77,0,3.1,0,8.58,57.9,0,1.91,0,7.86
 84-94,0,0,0,0,534.17,3.38,0,39.12,2.23,48.47,0.75,3.55,5.92,0,0.91,19.79,0,281.85,1.61,14.6,0,0,0,12.98,0,14.75,12.01,0,2.09,0,3.81,191.48,0,0,0,0
 96-106,0,0,1.43,0,664.79,3.96,0.62,17.86,0,56.07,0,11.02,14.73,0,0,10.68,0.72,334.64,0,12.12,11.57,0,1.32,70.24,9.13,33.08,4.16,0,10.4,0,0,340.27,0,4.63,4.74,0
108-118,1.01,0,0,0,723.54,1.44,2,23.25,0,63.15,2.81,3.25,19.32,0,0,26.34,0,382.3,3.19,9.8,4.11,1.21,0,217.21,1.12,18.69,0.96,0,9.16,0,0,429.6,0,4.67,1.17,0
120,2.23,0,0,0,511.85,0,0,18.28,0,43.83,0,0,19.53,0,10.09,28.71,0,138.59,0,9.02,2.9,0,0,43.79,1.38,27.39,15.81,0,0,0,0,201.75,0,0,0,0
