stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,14.29,340.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
  5-6,6.15,212.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.61,10.41,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.5,0,14.36,0,0,17.18,0,0,0,0,0,0,0,0,0,0,0,0,0,282,12.65,0,0,67.62,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,11.54,0,0,5.97,0,0,0,9.8,0,0,0,0,0,0,0,0,0,101.45,12.33,0,0,49.55,10.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,10.18,2.08,0,0,0,0,0,0,0,0,0,0,0,3.08,0,0,22.15,0,0,0.84,0.94,0,0.88,0.9,4.55,6.47,0,0,0,0
 24-34,0,0,0,0,0.69,0,0.63,0,1.16,0,0,0,0.69,0,2.16,1.44,0,4.48,0,0,30.27,0,0,0.68,0,3.41,0,0,0.99,7.53,0,0,0,0
 36-46,0,0,0,0,2.09,1.11,9.86,1.14,2.63,0,0,0,0,0,0,0,0,1.16,0,0,26.61,1.04,2.03,0,0,13.12,0,0,0,4.83,0,0,0,0
 48-58,0,0,0,0,2.74,0,4.5,0,10.5,0,0,0,0,3.82,0,0,1.22,2.12,0,0,32.93,1.71,0,1.85,0,4.93,0,0,0,3.79,0,0,0,0
 60-70,0,0,0,0,6.23,0,16.62,0,8.46,0,0,0,0,0,0,0,0,6.33,0,0,12.6,0,0,9.56,0,0,0,1.87,0,0,0,0,2.67,0
 72-82,0,0,0,0,2.21,5.92,2.62,2.5,1.72,0,0,0,0,0,0,0,0,5.41,0.62,1.36,15.38,0,0.67,0,0,3.14,0,0,0,0.81,0,0,1.72,0
 84-94,0,0,0,0,3.71,0,15.15,0.91,0,1.62,0,2.61,0,0.86,0,0,0,2.35,0,0,9.86,0,0.66,0,0,14.24,0,0,0,0.82,1.8,0,0,0
 96-106,0,0,0,0,1.11,7.61,12,0,5.4,2.67,0,0,0,0,0,0,0,6.48,0,0,9.1,0,0,2.65,0,3.71,0,0,0,0,0,0,1.6,0
108-118,0,0,0,0,4.77,2.33,0,0.72,4.74,0.78,0,0,0.53,1.57,0.53,0,0,1.45,0,0.5,5.1,0,0.98,2.4,0,2.69,0,0,0,4.59,0,0.85,0,3.36
120,0,0,1.22,0,6.36,1.2,9.17,1.09,0,0,0,0,0,0,0,0,0,6.73,0,0,8.31,2.24,0,5.02,0,2.14,0,0,0,0,0,0,0,0
