stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,35.53,302.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.65,283.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.13,9.19,0,7.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.17,6.88,0,0,27.73,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.96,0,0,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.09,0,0,0,10.5,0,3.78,0,3.9,0,4.75,0,0,0,0,0,0
 14-21,0,0,0,1.82,4.25,1.34,3.39,0,0,0,0,0.94,0,0,0.97,0,0,0,6.93,0,0,2.9,24.95,0,0,0,1.12,4.05,0,6.73,1.05,1.9,10.44,14.47,0,0,0,0,0
 24-34,0,0,0,0,3.86,1.11,3.35,0,1.62,0,0,0,0,0,0,0,0,0,3.65,0,0,1.57,25.49,0,0,0,0,3.98,0,0,0,0.76,1.69,9.09,0,0,7.5,0,0.95
 36-46,0,0,0,0,0,0,12.12,0,0.8,0,1.72,0,0,2.12,0,0,0,5.06,6.46,0,0.86,5.4,38.5,0,0.92,1.62,0,14.26,0,0,0,0,0,4.19,0,0,5.11,0,0
 48-58,0,0,0,0,4.81,0,7.06,0.39,0,0.44,2.81,0,0.75,0,0,0,0,0,7.66,0.95,0,0,19.81,0,0.99,0,0,6.13,0,0,0,0,0,2.69,0,1.03,0.95,0,0
 60-70,0,0,0,0,2.32,0,4.78,0,0,0,1.1,1.02,0,0,0,0,0,0,4.81,0,0,1.32,7.07,0,0,0,0,5.53,0,0,0,0,0,0,0,1.31,1.15,0,8.18
 72-82,0,0,0,0,0,0,3.81,0,5.06,0,3.68,0,0,3.12,0,0,0,0,9.84,0,1.66,0.68,13.13,0,0,4.91,0,2.13,0,0,0,0,0,2.17,1.53,0,8.55,0,0
 84-94,0,0,1.11,0,6.89,0,2.61,0,0.6,3.05,1.84,4.01,0,12.19,1.72,1.22,0,0,15.09,0,2.99,2.08,3.21,0,0,1.98,0,24.05,0,0,3.33,0.78,0,0.71,3.38,2.14,1.93,1.57,0.73
 96-106,0,0,0,0,2.75,0,6.16,0.9,1.32,0,7.05,2.88,0,5.64,1.52,0,0,1.45,13.18,1.52,0,2.94,13.86,0,2.65,0,0,25.16,0,0,0,0,0,0,1.17,0,6.36,0,0
108-118,0,0,0,0,6.29,0,2.42,0.54,1.13,0,10.94,3.38,0,13.11,0.65,0.63,0,3.03,7.29,0.75,1.08,5.23,16.27,0.59,0,3.72,0,20.28,0,0,0,0,0,0,1.22,0,6.27,0,0.6
120,0,0,0,0,3.08,0,14.43,0,0,0,1.81,1.25,0,25.1,2.56,0,2.19,0,3.56,0,0,0,19.77,0,0,0,0,3.57,0,0,0,1.21,0,0,0,0,8.43,0,0
