stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,300.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.58,0,0,0,0,0,0,0,0
  5-6,8.29,348.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3682.42,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,22.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.85,0,0,75.51,893.22,0,0,0,0,0,0,0,0
 10-12,0,0,0,5.05,0,0,3.59,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0,0,0,354.77,0,0,97.03,239.82,4.36,19.61,0,0,0,0,0,0
 14-21,0,0,0,0,27.92,0,0,0,0,0,0,1,0,0,0,0.86,0,0.93,0,3.48,0,0,0.99,17.59,5.2,0.81,0,563.13,1.16,0,0,4.84,1.51,0,0,0
 24-34,0,0,0.84,0,27.7,0,2.49,0,4.73,0,0,0,3.99,0.92,0,12.49,0,27.03,0,2.49,22.94,0,0.8,92.76,52.27,0,0,1692.37,0,1.17,1.02,0,8.05,0,0,1.69
 36-46,0,0,0,0,18.88,0,3.9,1.68,11.81,0,0,0,0,0,0,3.55,0,11.75,0,0.98,19.9,0,1.49,51.71,23.44,0.7,0,2083.95,0,0,0,0,6.03,0,0,1.45
 48-58,0,0,0,0,12.28,0,10.63,0,17.06,0.93,6.38,0.87,0,0,0,5.52,0.92,19.45,2.56,5.72,11.57,0,0.54,71.74,4.56,0.69,0,1213.81,0,0,0,0,11.08,0,0,5
 60-70,0,0,0,0,34.02,0,2.19,0,6.9,0,1.09,0,0,0,0,0,0,16.11,0,7.16,4.27,0,0,18.78,4.11,3.36,0,755.6,0,0,0,0,0,3.05,0,3.92
 72-82,0,0,0,0,45.29,5.76,24.09,0,1.38,0,0,2.85,0,0,0,6.63,0,43.08,0,1.93,3.56,4.69,0,37.37,5.53,1.09,0,338.7,0,0,3.15,0,2.69,9.62,1.47,0
 84-94,0,0,0,0,110.54,0,6.7,0,9.22,0,0,6.19,0,0,0,11.71,0,44.9,0,5.05,5.13,0,0,11.9,4.59,1.68,0,1005.72,0,0,0,0,0,42.62,0,0
 96-106,0,0,0,0,108.75,3.71,29.3,2.82,11.44,2.19,7.01,9.91,0,0,0.56,0.88,0,46.61,0,4.27,6.49,0,0,6.65,8.59,0,0,517.65,0,0,0,0,0,41.34,0,0
108-118,0,0,0,0,147.74,0,5.62,0,9.25,0.56,0,3.68,0,0,0,11.69,1.3,38.38,0,11.36,1.77,0,1.03,13.12,3.67,0,0,386.97,0,0,0,0,0,38.86,0,0
120,0,0,0,0,71.93,2.02,0,0,8.95,0,2.9,4.29,0,0,0,6.38,0,21.94,0,0,1.46,0,0,3.79,5.71,0,0,235.06,0,0,0,0,0,12.9,0,0
