stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,21.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.96,0,0,8.79,0,0,14.47,0,0,0,0,0
 14-21,0,1.88,0.88,0,0.97,0,1.08,2.27,0,0,0,2.56,0,0,3.99,34.23,0,0.95,2.19,0,13.64,0,5.98,13.54,0,0,0
 24-34,0,0,0.86,0,0,0,0,0,0,0.63,0.94,3.46,0,0,0.74,11.33,0,0,0,0,0,0,0,3.02,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,0.75,0,0,0,0,0,0.77,0,0,0
 48-58,0,0,0,0,1.84,5.07,3.09,0.95,0,0,0,8.04,0,0,1.21,1.87,0,0,0,0.7,0,0,0,5.09,0.42,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,9.12,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.64,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0
 84-94,0,0,0,0.69,0,0,3.08,0,0.83,0,0,3.65,0,0,0.9,0,0,0,0,0.72,0,0,0,0,0,0.91,0
 96-106,0,0,0.98,0.96,0,0,3.13,0,0,0,0,0,0.67,0,2.18,1.52,0,0,0,0.83,0,0,0,0,0,0,0
108-118,0,0,4.04,0,0,0,0.79,0,0,0,0,4.09,0,1.21,3.19,0,0.46,0,0,0.5,0,0,0,0,0,0,1.7
