stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,64.13,418.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
  5-6,59.68,852.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.29,6.07,0,16.55,18.61,0,0,0,0,0,0,0,0,0
  7-9,5.34,6.33,10.86,0,0,0,0,0,0,0,0,0,10.56,0,0,0,0,0,0,0,0,154.22,11.94,0,67.97,7.16,24.15,0,0,0,0,0,0,0,0
 10-12,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.16,8.87,0,29.33,0,0,0,8.56,0,0,0,0,0,0
 14-21,0,0,3.98,11.26,1.07,0,2.74,0,0,0,0,0,0,0,0,0,0,6.68,16.62,0,12.76,39.97,0,0,0,0,0,2.32,5.2,2.41,17.01,0,1.06,0,0
 24-34,0.88,0,0,0.7,0,0,0,0,0.8,0,0,0,0,2.35,0,0,0,1.63,42.99,0,5.57,53.58,0,0,0,0,0,0,0,11.32,24.41,0,11.69,0,0
 36-46,0,0,0,0,0,0,0.71,0,1.6,0,0.64,0,0,4.6,0,0,0,0.86,69.89,2.03,7.53,81.48,0,0,0,0,0,0,0,0,18.25,0,1.95,0,0
 48-58,0,0,0,0,0,0,10.99,0,0,0.41,0,0,0,0,0,0,0,1.56,8.2,0,0,52.82,0,0,0,0,0.65,0,0,0,18.2,0,1.52,0,6.02
 60-70,0,0,0,0,0,0,101.72,0,0,0,1.89,0,0,0,0,0,0,0,3.59,0,0,75.11,2.6,1.58,0,0,0,0,0,0,29.39,0,2.89,0,0
 72-82,0,0,0,0,0,0,183.74,0,0,2.07,2.42,10.79,0,5.04,0.67,0,0,0,9.37,0,0,56.45,0,0.74,0,0,0,0,0,0,21.63,0,0.5,0.99,1.3
 84-94,0,0,0,0,0.78,0,194.43,0,0,0,0.67,19.83,0,0,0,0,0,0,9.27,0.72,0.83,34.27,0.57,1.49,0,0,0,0,0,0,5.39,0,1.6,0,0
 96-106,0,0,0,0.65,0,0,190.57,2.37,7.36,0,4.58,0.63,0,2.9,0,0,0,0,15.66,0,0,61.86,0,1.73,0,2.01,0,0,0,0,4.87,0,1.75,0,0
108-118,0,0,0,0,0,1.8,246.34,0,0,0,2.64,1.55,0,2.41,0,3.04,2.34,0,6.34,0,0,83.67,0,2.08,0,0,0,0,0,0,10.71,1.83,6.11,0,0
120,0,0,0,0,0,0,534.18,0,0,0,0,0,0,4.06,0,0,0,0,4.09,0,1.66,204.26,6,0,0,0,0,0,0,0,16.12,0,0,0,0
