stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,63.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,18.83,0,0,0,8.48,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,35.53,0,0,0,30.35,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,95.84,0.93,1.51,0,0,0,0,52.22,0,0,0,0
 24-34,0,0,6.41,0,0,0,0.7,0,0,0,0,0,0,0,0,0,1.11,0,1.35,621.7,0,8.31,0,0,1.83,0,156.18,0,0,1.64,0
 36-46,0,0,4,0,0,89.32,0,0.65,5.01,0,0,0,0,0,0,0,1.72,0,0.67,1643.95,2.62,7.94,0,0,0,0,315.38,0,0,1.73,1.04
 48-58,0,0,9.36,0,0,175.13,0,0.42,27.11,0,0,0,0,0,0,0,2.13,17.66,0.8,2036.19,0,6.14,2.29,0,1.31,0,412.19,0,0,0.43,12.07
 60-70,0,0,10.63,0,0,247.08,0,0,5.57,0,0,0,0,0,0,0,9.78,0,0.6,1726.75,0,5.97,0,0,2.61,0,251.87,0,0,1,7.45
 72-82,0,0,5.09,0,0,196.72,0,0,6.15,0.71,0,2.79,2.43,0,0,0,19.8,0,0.92,1121.72,0,1.22,0.84,0,0,0,169.83,0,0,0,0
 84-94,0,1.01,3.06,0,0,144.98,0,0,9.24,0,0,0,0.73,0,0,4.77,4.63,1.04,1.49,862.72,0,2.22,0,0,1.06,0,92,0,0.84,0,0
 96-106,0,0,4.51,8.6,0,66.34,0,0,17.58,1.61,0,0,0,0,1.54,0,10.87,0,0,467.18,0,1.64,0,0,0.95,0,34.62,0,0,5.14,0
108-118,0,0,3.69,0.96,0.69,82,0,0,6.67,0,0,0.98,1.5,5.25,0.7,0,9.23,0,1.39,484.94,0,2.52,0,0,0,0,15.92,0.68,0,0.84,0
120,0,0,2.99,10.24,0,101.32,0,0,24.29,0,0,0,0,0,0,0,22.88,0,0,561.27,0,1.48,0,0,0,1.13,19.49,0,0,9.96,0
