stage,axial,blastomeres,epidermis,eye,fin.epithelia,mesenchyme,mural.cell,neural,notochord,periderm,pgc,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,0,66.1,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.96,37.72,0,0,0,0,0,0,15.57,8.88,0,0,0,0
  7-9,0,0,0,0,0,0,0,34.64,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,11.92,0,0,0
 14-21,0,0,0,0.85,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,0.81,0,0.77,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.46,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.5,0.66,0,0,0,0,0.93,0
 60-70,0,0,0,0,0,0,0,2.24,0,0,0,1.06,0,0
 72-82,0,0,0.55,0,0,0.8,0,1.49,0,0,0,0,0,1.16
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52
 96-106,0,0,0,0,0,2.24,0,2.36,0,0,0,0,0,0
108-118,0,0,0,0,0.62,0.45,0,2.57,0,0,0,0,0,0
120,0,0,0,0,0,0,0,6.55,0,0,0,0,0,0
