stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,72.04,968.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.25,0,0,0,0,0,0,0,0
  5-6,38.59,571.16,0,10.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,0,24.55,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,36.53,0,0,0,17.27,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.61,0,0,0,0,0,0,0,0,12.15,0,0,0,0,0,0,0,0,0,0,0,184.78,0,0,0,3.14,0,8.82,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,17.61,1.93,0.87,0,0.82,0,0.91,1.08,0,0,0,2.62,0,0,0,0,1.31,0,0,0,23.24,1.53,6.24,0,1.19,0,29.69,1.81,2.54,18.54,0,0,0,0,0
 24-34,0,0,0.9,0.59,6.07,0,3.82,0,2.47,0,0,0,0,0,4.74,5.08,0,0,0,0,2.37,0,2.43,0.96,63.69,0,0.78,0.88,0,0,69.42,8.23,0,19.98,0,0,4.66,0,0
 36-46,0,0,0,0,0.68,0,13.63,0,0,0,4.68,0,0,1.65,2.73,0.6,0,1.71,1.55,0.61,2.81,3.01,0,0.62,76.97,0,10.02,0,0,0,68.32,2.2,0,22.09,0,0,2.88,0,0
 48-58,0,0,0,0,7.96,0,24.69,0,0.51,0,4.76,0.56,0,0,3.44,7.56,0,0.88,0,0,7.27,0.4,0.51,0,93.01,0,3.64,0.69,0,0,34.6,9.66,0,22.37,0,0.49,1.11,0,0
 60-70,0,0,0,0,6.33,1.04,51.8,0,3.68,0,5.85,0,0,0,10.31,0,4.4,4.05,0,0,11.59,0,3.88,0,153.34,0,12.56,0,0,0,32.35,0,0,11.51,0,0,0,0,0
 72-82,0,0,2.8,0,4.15,2.97,44.24,0,1.06,0,0,1.22,0,0,5.3,6.15,2.76,0,0,0,6.05,1.14,0,0.8,126.66,0,1.02,0.84,0,1.03,8.54,0,0,20.61,0.67,1.61,6.57,0,0
 84-94,0,0,1.53,0,14.14,11.51,42.03,0,2.31,0,9.28,6.83,0,0,14.28,1.97,1.5,4.44,0.57,1.74,9.17,0,8.29,0,96.22,0,5.61,1.19,0,0,74.61,4.81,0,0,0.57,0,0,1.06,4.35
 96-106,0,0,0.81,0,18.22,8.89,48.57,0,1.36,0,3.83,3.64,0,0,10.35,7.55,0,1.09,0,0,6.14,5.76,0.59,2.26,91.7,0,7.19,5.49,0,0,34.71,0.87,0,10.77,7.02,0,1.04,1.5,1.29
108-118,0,0,1.56,0,22.08,0.7,46.43,0,2.76,1.17,6.28,4.44,0,0,15.16,8.92,5.48,0,1.91,0,8.15,2.73,0,3.31,106.48,0,6.67,2.93,0,0,42.53,1.03,0,15.42,0.5,0,0.62,6.71,7.01
120,0,0,0,0,11.14,8.27,26.08,4.23,3.38,0,40.25,5.51,0,0,37.86,2.26,4.86,0,0,7.52,0,0,0,0,162.77,0,18.98,0,0,0,43.5,1.12,0,0,0,0,0,2.27,0
