stage,erythrocytes,eye,fast.muscle,fin.epithelia,hatching.gland,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,xanthophores
 10-12,0,0,0,0,3.31,0,0,4.77,0,0,0,0
 14-21,0,0,0,0,0,0,0,1.71,0,0,1.15,0
 24-34,0,0,0,0,0,0,0.6,4.15,0,0,0,0
 36-46,0,0,0,0,0,0.68,0,2.07,0,0,0,0
 48-58,0,0.58,0,0,0,0,0,1.64,0,0,0,0
 60-70,0,0,0,0,0,0,0,8.45,0,0,0,0
 72-82,0,0,0,0,0,0,0,3.1,0,0,0,0
 84-94,0.56,0,0,0,0,0,0,5.93,0,0,0,0
 96-106,0,0,0,0.66,0,0,0,0,0,0,0,3.81
108-118,0,0,5.31,0,0,0,0,4.62,1.47,0.79,0,0
120,0,0,0,0,0,0,0,23.9,0,0,0,0
