stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,240.5,3102.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.64,0,0,0,0,0,0,0,0,0,0,0
  5-6,132.35,2151.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.13,0,0,0,6.56,0,17.62,0,0,0,0,0,0,0,0,0,0,0
  7-9,73.66,77.06,0,38.77,0,0,0,217.77,0,0,0,0,89.45,0,0,0,0,0,0,0,0,0,0,1885.14,69.93,0,0,604.07,0,0,6.03,0,0,0,0,0,0,0,0,0,0
 10-12,0,40.77,0,50.92,0,13.07,0,119.61,0,0,0,0,61.6,0,0,0,0,0,0,0,0,0,0,1074.27,32.16,0,0,268.5,0,5.41,18.37,4.76,45.54,0,0,0,0,0,0,0,0
 14-21,0,0,1.69,25.62,156.35,26.47,0,102.1,1.16,0,29.97,5.95,20.01,2.22,0,9.78,0,0,0,117.94,2.81,0,50.68,972.95,23.53,5.16,18,23.42,0,154.1,0,48.33,3.97,1.32,26.07,194.18,0,0,1.77,0,9.35
 24-34,0,0,0,3.39,37.8,3.29,0,390,0,1.21,25.56,0,0,2.16,1.52,3.47,0,1.41,4.3,150.45,0,1.79,32.27,2212.64,0.76,6.97,26.41,0,0,30.31,0,2.33,0.65,0,1.3,366.78,0,0,20,0,2.31
 36-46,0,0,0,0.56,40.43,0.79,0,773.37,4.65,0,24.33,1.45,0,9.47,2.11,3.58,13.07,0.57,2.89,123.75,0,0,14.48,1652.71,0,7.25,4.03,0,0,58.93,0,1.39,0.62,6.12,0,229.64,0,0,8.68,0,0
 48-58,0,0,0,0,65.27,13.35,0,1072.34,1.1,0,139.91,5.13,2.08,2.5,4.73,20.23,25.72,4.54,3.74,138.32,0,9.49,21.89,1548.8,0,5.03,13.63,0,0,27.16,0,0,1.07,0,0,69.37,0,0,10.9,0,0.38
 60-70,0.81,0,0,0,81.03,12.21,0,862.97,1.23,0.84,96.88,10.17,0,1.31,7.58,0,3.16,12.88,0,232.03,1.53,24.06,19.38,759.58,0,0,17.26,0,0,17.18,0,0,0,0,0,31.19,0,0,28.08,0,0
 72-82,0,0,0,0,25.88,4.93,0,199.71,0,0,36.1,4.37,0,0.55,3.75,0,0,1.22,0,70.98,0,0,6.72,245.11,0,2.57,2.6,0,1.61,0.5,0,0,0,0,0,4.05,0,0,8.29,0,0
 84-94,0,0,0,0,22.12,0.58,0,119.51,0.55,0,41.49,7.38,0,1.81,4.62,0,0,0,4.87,94.84,0,4.33,12.75,112.39,0,0,0,0,0,5.28,0,0,0,0,0,8.27,3.37,2.05,2.55,1.07,0
 96-106,1.12,0,0,0,7.88,0,0,49.67,0,0,13.39,1.84,0,0,0.63,0,1.11,0.59,0,22.15,0,0,2.33,84.98,0,0,0.61,0,0,2.98,0,0,0,0,0,2.02,0,0,3.24,0.68,0
108-118,0,0,0,0,6.41,0,2.73,81.7,0,0.59,23.92,0.48,0,0,4.88,0,0,0.87,0,38.19,0,0.62,4.32,108.15,0,2.15,0,0,0,0.52,0,0,0.43,0,0,0,0.48,0,6.35,0,0
120,0,0,0,0,15.39,20.43,0,231.83,2.56,0,51.19,4.69,0,0,13.16,1.1,0,0,11.39,56.15,0,16.82,10.46,368.13,0,0,0,0,0,1.37,0,0,0,0,0,0,0,0,1.09,0,0
