stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  3-4,99.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,0,0,0,0
  5-6,146.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68,4.43,0,0,31.09,0,0,0,0,0
 10-12,0,0,8.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.82,0,0,0,32.83,0,0,0,0,0
 14-21,0,0,0,9.07,1.05,15.54,0,0,0.98,0,0,0,0,0,4.31,2.1,0,5.27,27.13,0,0,0,0,0,0.89,48.09,2.17,0
 24-34,0,0,0,0,0,5.37,0,0.71,0,0,0,0,0.8,0,0,0,0,1.75,10.69,0.79,0,0,0,0,0,15.53,0.7,0
 36-46,0,0,0,0,0,2.88,0,0,0,0,0,0,0,0,0,0,0,0,14.77,0,0.69,0.76,0,0,0,0,0,2.78
 48-58,0,0.46,0,0,0,9.52,0,0,0,0,0,0,12.1,0,0,1.2,0,0,5.37,0,0,4.27,0,0,0,0,1,1.25
 60-70,0,0,0,2.36,0,33.16,0,0,7.51,0,0,0,0.61,0,0,8.3,0,0.72,2.5,0,0,0,0,0,0,0,0,1.05
 72-82,0,0,0,0,0,2.55,0,0,3.8,0,0,0,5.06,0,0,11.07,0,0,7.36,0,0,0,0,0,0,0,6.37,0
 84-94,0,0,0,2.63,0,20.63,0,0,0,0,0,2.09,5.3,0,0,15.25,0,0.89,26.28,0,1.37,0,0,3.97,0,0,1.84,1.76
 96-106,0,0,0,6.99,0,5.64,1.78,0,2.64,0.9,0,0,1.3,0,0.94,10.22,4.6,0.57,7.96,0,0,0,0,17.18,0,0,0,0
108-118,0,0,0,6.95,0,29.8,0,0,3.78,0.44,0,0,0,1.51,0,15.85,0,4.11,11.51,0,0,0.61,0,19.7,0,0,0,0.43
120,0,0,0,4.46,0,4.46,0,7.86,0,0,3.53,3.98,3.6,4.23,0,16.35,0,3.02,11.31,0,0,0,0,109.82,0,0,0,0
