stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,neural,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0
 24-34,0.74,0,0,1.06,0,0,0,2.05,3.13,0,1.31,3.31,2.02,0
 36-46,0.98,0,0,0,0,0,0,0,4.12,6.74,2.07,5.49,0,0
 48-58,0,0,0,2.07,0,0,0,0,0.64,0,0,2.01,0,0.54
 60-70,0,2.35,0,0.63,0,0,0,0,3.1,0,0,0,0,0
 72-82,0.65,0,0,5.71,0.53,0,0,6.18,3.6,0,0,0,2.45,0
 84-94,0,0,0,6.48,0,0,0,7.29,2.29,0,0.58,1.03,0,0
 96-106,0,0,3.02,14.22,0,0,0,0,2.92,0,0.95,0.78,2.59,0
108-118,0,0,0,21.74,0,0.42,0.63,0.77,0,0,0,0,0,0
120,0,0,17.61,16.89,0,0,0,13.65,0,0,0,0,0,0
