stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,34.45,153.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.99,130.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.53,32.41,0,0,0,0,0,254.41,0,0,0,0,17.44,0,0,0,0,0,0,0,0,485.35,9.04,0,0,53.06,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,19.82,0,12.83,0,0,0,70.21,0,0,0,0,0,0,0,0,0,0,0,0,0,603.91,15.87,0,0,122.44,0,0,5.55,0,8.64,4.93,0,0,0,0,0,0
 14-21,0,0,1.11,0,2.89,5.5,0,28.44,0,0,5.51,0,1.78,0,0,0,0,1.61,0,0,3.15,295.37,15.04,2.61,0,0.82,0,0,0,14.58,0,4.68,63.09,0,0,0,0,0
 24-34,0,0,1.68,0,1.08,0,0,26.79,0,0,2.98,0,0,0,0,0,0,5.42,0,0,1.7,246.01,0,9.04,0,0,0,0,0,0,0,0,50.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,142.93,0,1.08,16.04,0,0,0,0,0,0,2.56,0,0,1.19,382.32,0,1.61,0.61,0,0,0,0,0,0,0,66.23,0,0,0,0,4.86
 48-58,0,0,0,0,0.84,0,0,727.53,0,0,32.45,0,0,0.88,0,7.33,0,6.17,0,0.84,0.83,401.73,0,3.85,0,0,5.19,0.66,0,0,0,0,103.25,0,0,0,0,3.89
 60-70,0,0,0,0,0,0,0,1622.1,0,0,24.01,0,0,0,1.94,0,7.12,8.63,1.76,0,1.13,680.81,0,4.39,0,0,0,0,0,0,0,0,135.09,0,0,0,0,0
 72-82,0,0,0,0,5.87,0.49,0,2121.27,0,0.71,37.6,0.51,0,0,0,0,0,13.51,0,1.17,0,798.84,0,7.96,0,0,0,4.6,0,0,0,0,90.68,0,0,1.04,2.15,4.77
 84-94,0,0,2.88,0,4.72,8.84,0,1633.78,0,1.21,42.06,0.68,0,0,0,0.7,2.21,6.99,0,1.16,4.08,493.7,0,2.61,0,0,0,0,0,0,0,0,86.21,0,0,0.78,0,0
 96-106,0,0,0,0,6.85,3.63,4.66,2050.22,0,0,33.91,0,0,0,0,0.66,0,18.11,0,0,4.03,479.83,0,15.38,1.78,0,0,3.38,0,0,0,0,31.23,0,1.15,0,2.62,0.75
108-118,0,0,0,0,4.33,3.29,0,1519.8,0.71,2.66,36.17,0,0,0,0.63,0,0,14.19,0,0,1,579.54,0.46,8.27,0,0,0,0,0,0,0,0,48.64,1.35,0,0,0.65,0
120,0,0,0,0,22.58,0,0,893.91,0,0,38.79,0,0,0,0,0,0,7.4,0,0,0,812.66,2.33,6.32,2,0,0,0,0,0,0,0,34.86,0,0,0,0,0
