stage,blastomeres,erythrocytes,eye,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,neural,otic,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,13.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0
 24-34,0,0,3.95,0,0,0,0,0,1.17,0,0,0,0,1.5,0,0,1.37,0,0,0,0,0
 36-46,0,0,0,4.89,0,0,0,0,40.98,0,0,0,0,2.02,0,0,2.62,0,0,0,0,0
 48-58,0,0,25.38,3.44,0,0,0,0,51,0,7.59,2.19,0,4.71,0,0,1,0,4.59,0,0,0
 60-70,0,0,44.99,9.5,0,0,0,0,128.69,0,0.86,7.49,0,5.86,0,0,7.67,0,7.33,0,0,6.79
 72-82,0,0,16.21,8.64,0.63,0.58,0,0,56.96,2.82,0,21.73,0,7.36,1.91,0,12.54,0,0,0.49,2.15,0
 84-94,0,0,52,1.1,0.73,0,0,0,124.7,4.64,1.3,2.13,0,9.46,10.16,0.92,23.92,0,0,0,0,0
 96-106,0,4.93,34.31,5.17,0,0,0,0.94,126.37,2.8,2.82,6.95,0,9.36,0.63,0.73,19.44,0,0,0,0,0
108-118,0,1.29,21.6,0,0.56,0,1.2,0,160.11,8.66,1.01,8.8,0,4.79,1.62,0.45,24.6,0,0,0,2.48,0
120,0,0,1.48,0,2.59,0,0,0,108.69,18.62,4.02,7.11,9.27,14.27,9.66,2.1,3.76,0,0,0,0,0
