stage,epidermis,eye,fin.mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mucous,mural.cell,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,vasculature,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0.87,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.86,0,0
 48-58,0.67,0.79,0,0,0,0,0,0,3.43,0,0,0,0,0,0,0.46,1.4,0,0
 60-70,0,0,0,0,0,2.37,0,0,0,0,0,0,0,0,0,0,1.86,0,0
 72-82,3.24,0,0,0,0,0.53,0,0,13.57,0.58,0,0,0,0,0,0.66,5.27,0,0
 84-94,1.03,0,0,0,0.84,1.02,1.13,0,10.22,3.18,0,3.42,0,0.63,0,0,21.02,0,0
 96-106,0,9.94,0,0.99,5.35,7.43,2.05,1.46,11.29,0,0.79,2.23,0,0,0,1.92,3.96,0,0
108-118,0,1.44,2.99,1.62,9.34,3.94,1.26,0,27.35,0,0,2.74,0,0,0,0,12.92,2.07,0
120,0,0,0,0,0,1.79,0,0,92.96,0,0,0,0,0,0,0,0,15.9,4.8
