stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,34.45,34.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,36.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.55,0,0,0,5.92,0,0,0,0,0,0,0,0,0,0,48.25,0,0,0,3.33,3.29,0,13.28,0,0,0
 10-12,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,23.22,0,0,0,22.61,0,4.36,0,0,0,0
 14-21,0,0,0,0.85,0,0,9.59,0,0.8,0,0,0,0,0,0,12.58,1.31,0,47.16,0,0,1.2,0,1.65,1.78,2.01
 24-34,0,0,1.3,0,0.67,0,16.93,0,0,0,0,1.49,0,0,1.72,93.61,0,2.1,80.71,0,0.76,0,1.06,0,23.36,1.94
 36-46,0,0,0,0,4.75,1.9,39.91,0,0,0.74,0,0.94,0,0,0,72.91,0,6.65,59.95,0,3.53,0,2.47,0,59.06,0
 48-58,0,0,0,0.38,11.49,0,34.09,0,0,0,0,0.64,0,0.42,0.38,39.3,0,4.73,28.02,0,0.5,0,2.38,0,60.04,0
 60-70,0,0,0,0,5.76,0,30.37,0,0,0,0,2.48,0,0,2.34,19.7,0,5.15,45.63,0,0,0,0,0,31.55,2.1
 72-82,0,0,0,0,11.16,0,59.77,0,0,0,0.96,7.76,0,1.81,0,22.72,0,4.7,28,0,0,0,0,0,10.88,0
 84-94,0,0,0,0,5.03,0,18.43,0,0.56,1.43,0,2.91,0,0,0.92,17.48,0,14.71,46.44,0,0.84,0,0.93,0,27.15,0.92
 96-106,0,0,0.58,1.54,20.26,0,47.88,0,0,0.99,0,3.83,1.41,0,0,4.47,0,12.87,58.48,0,2.45,0,0.58,0,7.24,1.6
108-118,0,0,1.88,0,9.86,0,59.02,0.64,0,0,0,1.98,0,0.74,0,9.75,0,9.65,46.84,0,1.74,0,1.25,0,2.23,0
120,0,0,0,0,4.62,0,34.35,10.75,0,0,0,0,0,0,0,1.47,0,3.49,51.52,0,4.34,0,5.92,0,6.6,0
