stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,53.4,349.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,0
  5-6,10.43,468.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.4,0,0,0,0,0,35.14,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,12.2,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.75,0,0,0,30.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,21.06,0,0,0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.16,6.68,0,0,52.03,0,0,0,0,0,0,5.73,0,0,0,0,0,0
 14-21,0,0,1,4.88,1.86,0,0.96,0,0,0,0,0,0,6.45,0,0,0,1.36,31.77,0,0,11.42,21.28,0,3.47,0,0.9,0,25.83,0.91,16.24,0.86,12.61,55.73,2.83,0,0,0,0,0
 24-34,0,0,0,8.49,0,0,1.21,0.84,2.9,0,0.64,0.73,0,10.03,0,0,0.66,0.66,18.87,0,0,16.33,32.07,0,7.47,0.9,0,0,3.15,0,0,3.13,7.76,11,6.58,0,0,0,0,0
 36-46,0,0,0,16.38,0,0,4.13,5.77,5.66,0,3.38,0,0,5.03,0,0,0.7,0,0.73,3.45,0,6.07,83.01,0,10.09,0,0,0,14.12,0,0,0,3.09,1.38,8.66,0,0,0,0,0
 48-58,0,0,0,63.74,0,0,2.71,2.95,10.36,0.62,2.9,0,0.54,0,0,0,0,3.95,4.1,3.81,0,3.36,98.36,0,21,0,0,0,1.06,0,0,0,5.99,0.55,7.77,0,0,0.82,0,0
 60-70,0,0,0,33.79,0,0,32.37,3.3,17.27,2.37,1.46,0,0,0,0,0,0,1.63,10.49,6.81,0,1.93,108.98,0,4.61,0,0,0,6.79,0,0,0,13.88,0,7.36,0.61,0,0,0,0
 72-82,0,0,0,33.37,0,0,76.61,3.08,12.75,1.99,0.53,0,0,0,0,0.71,0,0,24.86,7.86,0,5.54,196.66,0,19.37,0,0,0,40.73,0,0,0,6.2,0,7.7,0,0,0,1.26,3.13
 84-94,0,0,0,64.37,7.19,0,30.27,0.64,8.28,0,1.68,0,1.3,0.88,0,0.6,0,0,2.89,8.68,0,3.55,79.44,0,22.64,0,0,0,97.86,0,0,0,0.79,0,3.55,0,1.49,0,0,0
 96-106,0,0,0,71.24,3.3,0,56.9,13.36,5.95,10.41,1.36,0.7,0,1,0.91,1.91,1.05,0,20.94,7.8,2.63,1.53,85.42,0,12.44,0,0,0.97,227.12,0,0,0,3.15,0,0,1.13,0.89,1.48,0,0
108-118,0,0,0,84.8,2.4,0.44,48.59,3.6,22.1,1.35,7.8,2.13,0,0.99,0,3.04,0,1.09,7.33,8.63,6.2,4.26,118,0,8.59,0,0,0,170.54,0,0,0,3.77,0,2.6,1.34,1.17,0,0,0
120,0,0,0,101.99,0,0,74.98,1.15,32.96,2.6,6.22,0,0,0,2.49,0,0,13.18,7,32.65,0,3.68,206.13,0,3.96,0,0,0,112.15,0,0,0,4,0,29.24,0,0,0,0,0
