stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  3-4,35.35,69.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,266.93,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.14,3.4,0,26.27,0,3.41,0,0,0,0,0,173.54,0,0,0,35.37,0,0,0,0
 10-12,0,0,5.06,0,14.12,0,0,0,0,0,0,0,55.37,3.62,0,0,32.59,0,0,0,0
 14-21,0,0,2.23,5.35,0,1.23,0,0,0,1.02,0,0,10.28,0,1.51,0,0,0,1.19,1.36,1.01
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,1.83
 36-46,0,0,0,0.63,0,0,0,0,0,2.21,0,0.62,0.69,0,0,2.11,0,0,0,0,1.88
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.1,0,0,2.53,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0.8,0,0,1.66,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.84,0.58,0,0,1.99,0,0,0.98,0,0,0
108-118,0,0,0,0,0,0,0,0,0.55,0,0,0.57,0.67,0,0,0,0,0.55,0,0,0
120,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,3.27,0,0,0
