stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,xanthophores
 14-21,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.68,0,0,0,0,0,0,0,0.85,0,0,0,1.11,0,0,0,0,0,0,0,0
 36-46,0,0,19.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,32.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.65,373.91,0,2.57,0,0,0,0,0,2.47,0,0,0,9.68,0,0,0,0,0,0,0,0
 72-82,3.46,1.32,1021.09,0,0,0,2.43,0,0,0,3.29,0,0,0,48.52,1.42,0,0.7,0,10,0,0,6.09
 84-94,5.86,0.84,1070.2,0.79,0,0,4.15,0,0,0.6,2.12,0,1.36,0,13.88,0,0,0,0,1.26,0,0,0
 96-106,8.48,2.85,1357.95,11.14,0,0,2.91,0,0,0,6.72,0,0,1.1,15.68,0,0,0,1.06,0.68,0,0.85,0
108-118,4.93,0,1117.51,0,0,1.34,2.93,1.81,0,0,8.88,0,2.34,0,30.11,0,1.7,2.19,0,0,2.47,0,8.09
120,20.39,0,1366.98,0,0,0,0,0,1.48,0,2.92,12.35,0,0,20.44,0,2.11,1.8,0,0,0,0,17.42
