stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.54,0,0,7.34,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.17,0,0,20.65,0,0,0,0,11.77,0,0,0,0
 14-21,0,1.07,0,4.85,0,0,0,0,0,0,0,0,0,7.87,0,0,0,4.75,0,0,0,8.78,0,0.94,0,0,0,4.98,22.44,38.02,12.62,0,0,0
 24-34,0,1.77,0,1.23,0.6,3.63,0,0,0,1.39,0,0,0,0,0,0,0,2.15,0,0,0,26.27,15.92,1.72,0,0,0,12.4,7.55,8.66,2.16,0,17.5,0
 36-46,0,0.73,0,22.26,0,1.72,5.12,0,0,0.78,0,0,0.56,3.06,0,0,0,20.49,1.77,0,4.4,14.91,15.03,1.59,0,0,0,8.03,11.13,0.58,3.68,0,36.43,0
 48-58,0,2.15,0,30.42,0,5.08,0.66,3.9,1.48,0.73,0,0.55,0,8.3,0,0,0,32.51,1.21,0,8.23,30,15.55,0,0,0.77,0,29.2,0.45,0,2.93,0,41.38,1.09
 60-70,0,2.71,0,68.1,0,5.74,6.93,10.96,2.32,0,0,2.67,0,2.4,0,1.03,0.72,66.63,2.06,0,14.29,15.4,15.27,7.78,0,0,0,25.23,3.03,0,1.13,0,9.27,0.96
 72-82,0,2.59,0,17.87,0,20.19,1.11,4.97,0,4.62,0.76,0,0,1.04,0,0,0,73.16,2.39,0.96,9.14,21.69,25.83,9.5,0,2.04,0,30.58,3.03,0,2.86,0.75,23.26,0
 84-94,0,1.75,0,47.8,0,7.16,10.33,8.2,0,0.56,2.65,0,0,15.36,0,0.9,6.85,78.02,2.46,2.45,1.52,41.61,26.03,3.07,0,0.76,0,36.81,0.83,0,0,0,25.73,0
 96-106,0,1.84,0,45.25,6.69,44.36,1.19,7.93,0,4.52,3.14,0.75,0,9.64,0,1.49,0,52.85,6.96,0,1.18,25.25,33.26,8.62,0,10.46,1.14,25.07,0,0,0,0,15.09,0
108-118,0,0,0,74.08,0,62.17,1.92,19.96,0.88,4.68,1.55,0.78,0,7.09,6.47,5.79,0,94.97,0,16.89,5.16,43.09,39.43,14.18,0,10.33,0,45.49,2.24,0,0,0,7.56,0
120,0,0,3.17,109.24,0,25.18,19.51,14.88,0,1.7,0,0,0,6.34,0,7.2,0,120.31,0,95.33,12.58,20.68,70.03,10.93,0,7.84,0,25.68,4.32,0,0,0,47.14,0
