stage,epidermis,eye,glial,heart,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
 14-21,6.83,2.75,0,0,0,3.39,0,1.9,19.7,1.84,0,0,0,0.84,5.57,0,0,0
 24-34,2.76,3.62,0,0,0,0.64,0,0,14.69,0,0,1,5.06,0,2.36,0,0,0
 36-46,0,0,0.82,0,0,3.88,0,0,11.25,0,0.83,0,0.76,0,0,0,0,0
 48-58,0,0,2.22,0,0.63,4.3,0,0,13.99,0,0,0,0.77,0,0,0,1.84,0
 60-70,0,4.1,0,0,0,3.89,0,0,5.75,0,0,0,3.56,0,0,0,0,0
 72-82,0,0,0.52,0,0,4.95,0,0,6.64,0,0,0,1.72,0,0,0,0,0.59
 84-94,0,2.13,2.52,0,0,1.8,1,0,3.34,0,0,0,0,0,0,2.09,0,0
 96-106,0,3.13,0,0,0,2.87,0,2.91,2.51,0,0,0,0.7,0,0,0,4.69,0
108-118,0,4.01,0.56,0.52,0,4.35,1.4,0,0.73,0.5,0,0,2.5,0,0,0,0.57,0
120,0,0,0,0,0,14.6,5.9,0,3.98,0,0,0,1.12,2.11,0,0,0,0
