stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91,0,0,0,0,31.94,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,1.47,0,0,0,8.3,0,0,3.74,0,0,0,0,49.46,0,0,0.87,0,0,0,0
 48-58,0,4.91,0,0,0,0,0,0,0,0,0,2.81,0,0,0.58,2.13,0,0,12.7,0,1.18,0,0,82.86,0,0,4.25,0,0,0,0
 60-70,0,11,0,0,12.04,0,2.17,0,0.6,0,0,9.9,0,0,0.96,2.49,0,0,14.12,0,0,0,0,779.7,0,0,5.41,0,0,0,10.29
 72-82,0,31.18,0,0,30.21,2.53,5.46,0.88,0,0,0,54.96,0,0,9.56,10.21,0,0,60.46,0.91,1.28,0,0,902.53,0,0,0,2.31,0,0,0
 84-94,0,44.8,5.47,0,6.93,0,18.55,0,3.92,0,0,57.72,0,0,10.71,6.79,0,0.77,40.61,0,0,0,0.96,1994.27,1.69,0,8.36,0,0,0,0
 96-106,0,140.46,4.72,0.94,54.2,0,83.56,2.64,14.92,1.49,6.48,240.15,2.8,6.01,19.67,51.89,3.17,6.72,122.18,0,6.88,3.11,0,4917.98,0.87,6.18,0,3.76,0.92,0,9.25
108-118,1.22,93.58,6.7,1.93,20.83,0,58.68,0,9.8,1.66,1.41,136.14,0.53,7.25,14.7,46.32,1.58,0.47,82.8,0,1.3,0,2.06,2968.61,2,0,0,2.86,0,1.42,0
120,0,46.78,0,0,26.47,0,29.64,0,12.75,1.31,0,78.21,0,0,0,24.28,0,0,40.24,0,0,11.17,0,1570.09,0,0,0,0,0,0,8.45
