stage,epidermis,eye,immune,neural,spinal.cord
 14-21,0,0,0,1.22,0.96
 24-34,0,0,0,2.36,0
 36-46,0,0,0,6.72,0.76
 48-58,0,0.61,0,5.7,0.6
 60-70,0,0,1.92,16,4.05
 72-82,0,1.41,0,11.51,0
 84-94,1.79,0,0,0,0
 96-106,0,0,0,2.99,0
108-118,0,0,0,1.54,0
120,0,0,0,2.51,0
