stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,immune,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.99,23,0,0,0,0,0,0,0,0
 14-21,0,9.29,5.72,6.22,0,0,0,0,0,0,0,0,0,0,1.95,0,0,0,0,0,0,0.81,0,3.28
 24-34,0,0,13.77,0.81,0,0,0.78,0,0,0,0,0,0,0,3.32,0,0,0.67,0,0,0.78,1.02,0,29.79
 36-46,0,0,4.35,0,6.16,0,0,0,0,0,0,5.05,0,0.9,27.62,0,0,0.8,0,0,0,2.82,0,5.71
 48-58,0,0,0,0,0.61,1.1,0,0,0,0,0,2.33,0,0.73,21.69,0,0,3.65,0,0,0,6.45,0,0.46
 60-70,0,0,9,0,0,0,0,0,0,0,0,0,0,0,69.88,0,0,0,0,0,0,1.55,0,0
 72-82,0,0,1.48,0,0.54,0,0,0,0,0,0,0.97,0,0,138.2,0,0,0,0,1.31,0,2.73,0,0.98
 84-94,1.2,0,19.73,0,1.02,0,0,1.12,0,0,0,0,0,0,186.11,0,0,0.88,0,4.95,0,7.72,0,0
 96-106,0,0,37.27,3.96,23.09,0,0,3.3,0,1.32,0,2.87,0,6.37,239.53,0,0,0,0,15.57,0,4.74,2.04,0
108-118,0,0,21.36,0,17.94,0,0,0,9.55,0,0.89,7.92,0.92,0,161.7,0,0,0,0,26.2,0,0.46,0,2.25
120,0,0,15,0,21.32,0,4.34,8.83,8.73,0,0,109.05,0,2.38,235.2,0,11.74,6.38,21.93,10.01,0,0,0,13.18
