stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,39.95,0,0,0,0,0,0,0,0,0,7.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,23.18,0,0,0,0,0,0,0,0,0,0,143.66,0,0,0,0,0,0,0,0,0,0,4.5,0,0,3.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.91,0,34.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8,1.39,0,3.48,0,0,0,3.75,0,0,0,0
 24-34,0,0,0,0,0,45.8,0,0,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,55.49,0,0.67,0,0,0,0,3.55,0,0,0,0
 36-46,0,0,0,0,0,15.43,0,0,0,0,0,0,0,0,0,1.88,0,0,0,0,0,0,62.21,0,0,0,0,0,0,3.39,0,0,2.14,0
 48-58,0,0,0,0,0,37.79,0,0,0.9,1.29,0,0,2.61,0,0,0,0,2.32,9.67,0,0,7.8,100.44,0,0.44,0,0,0,0,22.52,0,0,2.99,0
 60-70,0,0,0,0,0,21.64,0,0,0.68,0.84,0,0,3.52,0,0,1.97,0,0,35.88,0,0,0.71,103.55,0,1.54,0,0,0,0,3.6,0,0,9.11,0
 72-82,0,0,0,0,0,78.89,0,0,4.29,11.93,2.21,0,0.51,0,0,7.21,0.69,0,133.57,0,2.24,0,120.36,0,0,0,0,0,0,4.5,0,4.64,90.05,0
 84-94,0,0,0.73,0,0,73.22,0,0,0,6.57,0,0,0.97,0,0,17.14,0,0,105.03,0,3.87,7.19,133.52,0,1.37,0,1.68,1.66,0,2,0,0,57.92,0
 96-106,0,0,1.37,0,0,52.1,0,0.65,0,0.9,0,0,5.58,0,0,11.39,0,0,214.85,0,2.77,4.65,207.69,0,2.46,0,1.45,0,0.6,3.06,0,6.78,134.27,4.99
108-118,0,0,2.1,0.6,0,73,0.67,0,0.65,0,0.86,0,2.24,1.48,0,34.67,0,0,269.02,1.15,8,4.62,249.51,0,2.92,0,15.98,0,0,14.66,0.52,0,114.96,2.83
120,0,0,0,7.49,2.02,51.97,0,0,2.28,2.21,0,0,4.47,0,1.01,3.65,0,0,234.46,0,32.12,14.64,298.5,0,1.8,0,0,0,0,6.18,0,3.8,188.32,4.47
