stage,blastomeres,endoderm,epidermis,eye,fast.muscle,glial,immune,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  5-6,23.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,7.74,0,10.81,0,0,0,0,0,0,0,28.24,3.43,0,0,5.62,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,10.21,0,0,0,16.22,0,0,0,0,0,0
 14-21,0,0,3.42,0,0,0,0,0,0,0,0,2.95,0,0,0,0,1.6,0,0.91,0,0,0
 24-34,0,0,0.8,0,0,0,0,0,0,0.82,0,3.74,0,0,0,0,0,0,0,0.84,0,0
 36-46,0,0,0,1.6,0,0,0,0,0,0,0,16.95,0,0,0,0,0,0,0,2.78,0,2.71
 48-58,0,0,0,5.45,0,1.49,0,4.02,0,0,0.84,10.82,0,1.07,0,0,0,0,0,4.84,0,1.94
 60-70,0,0,0,0,0,11.33,0,1.99,0,0,0,10.79,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,3.71,0,1.35,0,2.88,0,2.15,0,11.09,0,0.93,0,0,1.77,0,0,2.34,0,0
 84-94,0,0,0,6.43,0,0,0,1.56,0,0,0,6.08,0,0,0,0,0.66,0,0,0,0,0
 96-106,0,0,0,0,0,5.26,0,0.75,0,0.84,0,5.85,0,0,0.79,0,2.11,0.69,0,0,0.82,0
108-118,0,0,0,0,0,4.16,0,0,0,0,0,1.78,0,0,0,0,0,0,0,0,0,0
120,0,0,1.33,0,1.18,0,10.7,5.72,1.59,0,5.75,11.4,0,0,0,0,0,0,0,0,0,0
