stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,158.97,1665.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.7,0,0,0,0,0,0,0,0
  5-6,385.22,618.98,0,13.2,0,0,0,0,0,0,0,0,0,104.25,0,0,0,0,0,0,0,0,0,0,0,111.37,32.37,0,0,0,0,66.05,0,0,0,0,0,0,0,0
  7-9,324.54,0,0,644.73,0,0,0,0,0,0,0,0,0,199.22,0,0,0,0,0,0,0,0,0,0,0,307.5,133.54,0,0,13.02,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,302.19,0,0,0,0,0,0,0,0,0,6.61,0,0,0,0,0,0,0,0,0,0,0,80.43,0,0,0,11.53,0,3.07,0,0,0,0,0,0,0,0
 14-21,0,0,2.75,75.31,735.79,12.54,0,0.99,0,0,0,0,25.51,0,0,0,10.22,0,0,0,0,7.09,4.58,0,6.52,33.25,0,0,0,0,0,279.09,0,0,2.05,2.73,0,0,0,0
 24-34,0,0,0,0,107.39,1.34,0,0,0,0,0,0,0,0,0,0,0,0,0,11.01,0,7.95,4.99,0,0,10.34,0,0,0,0,0,2.67,0,0,0.61,1.91,0,0,0,0
 36-46,0,0,0,0,44.84,0,0,3.04,0,2.04,0,0,0,0,0,0,0,0,0,6.16,0,4.92,0,0,0,8.97,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0
 48-58,0,0,1.47,0,106.43,0,0,20.35,0,0.45,0,1.07,2.91,12.07,0,0,1.56,0,0,2.74,0,8.07,0,0,0,12.63,0,0,0,0,0,12.65,0,0.56,0,2.36,0,0,0.5,0
 60-70,0,0,0,0,92.5,0,0,53.84,0.78,3.74,0,0,2.18,1.31,0.98,0,0,0,0,4.84,0,34.31,0,5.65,0,8.72,1.61,0,0,0,0,0.72,2.61,1.36,0,1.21,1.64,4.25,0,0
 72-82,0,0,0.5,0,44.31,0,0,127.52,0,1.26,3.24,1.39,0,1.23,0.88,0,0,1.31,0,50.48,0,100.3,1.2,7.33,1.38,25.55,0,0,1.8,0,0,0,2.31,0,0,8.53,1.56,21.16,6.17,0.67
 84-94,0,0,2.82,0,251.83,0,0,249.47,0,30.72,0,0,18.23,18.43,4.6,0,0,4.77,0,445.71,0,66.2,0.62,0,0,51.55,3.02,0,0.69,0,0,5.52,15.28,0,0,0,0,11.02,3.45,0
 96-106,0,0,0,0,210.75,23.54,0,344.58,13.18,17.85,8.61,9.69,6.27,0,2.43,0.86,0,5.66,0,350.02,0,121.58,1.44,6.1,6.22,89.78,0.89,2.88,0,0,15.88,11.23,2.22,0,0,8.93,0,22.1,1.71,9.11
108-118,0,0,0.55,0.91,126.09,7.18,0.56,423.96,5.6,14.99,1.03,25.85,41.71,0,0.88,2.68,0,38.59,5.31,1163.87,3.61,149.91,2.75,1.7,9.41,117.12,2.06,0,0,0,4.05,5.41,4,0.7,0,0.58,0,39.59,0,5.34
120,0,0,0,0,65.52,0,1.89,166.47,9.98,17.57,0,0,33.48,0,0,0,0,15.67,0,267.02,0,103.18,0,43.98,0,147.75,16.84,25.4,0,0,0,4.27,2.78,0,0,0,0,28.65,0,7.88
