stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0
  7-9,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.41,5.33,0,0,3.53,0,4.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.77,0,0,0,6.41,0,15.55,0,0,0,0,0,0,0,0
 14-21,0,0,0,34.71,0,0,0,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,1.3,0,0,6.26,0,0,0,0,0,387.33,1.54,0,2.84,0,0,0,0,0
 24-34,0,0,2.67,11.83,2.89,0,6.09,0,1.33,0,0,0,0,0,14.13,0,0,10.97,0,0,1.65,1.99,0,0.95,50.24,1.07,0.77,1.69,0,0,328.51,1.06,1.04,1.62,0,0,0,0,0
 36-46,0,0,0,14.36,1.72,0,4.88,0,3.27,0,0,1.12,0,0,22.82,7.47,0,10.1,0,0,4.1,2.14,0,1.15,95.86,0,1.5,0,0,0,525.31,0,0,3.8,0,0,0,0,0
 48-58,0,0,0,21.19,3.98,0,20.43,0,11.47,0,0.54,1.54,6.19,0.47,18.21,0.46,0,7.11,2.28,6.25,5.47,1.91,0,0.42,32.01,0,2.5,0,0,0,476.46,0,0,4.32,0,0,0.9,0,2.55
 60-70,0,0,0,29.85,0,0,26.58,0,24.92,0,2.42,0.72,9.59,0,23.35,1.55,0,6.35,0,0,1.32,4.76,0,0,45.9,0,1.61,0,0,4.32,625.88,0.64,0,3,0,0,0,0,1.96
 72-82,0,0.58,0,35.26,0.69,0,12.85,0,9.49,0,5.05,0.88,0,9.85,5.73,5.59,0,23.14,0,0,12.64,7.73,8.26,0,30.53,0,5.69,0.61,0,2.62,471.42,0,0,1.35,0.63,2.5,0,1.15,0
 84-94,0,0,0,113.97,0.86,0,22.53,0,27.99,0,4.76,4.5,3.17,0,21.14,20.96,0,10.14,0.62,0,14.22,10.2,0.85,0,37.03,0,11.38,0.63,0,2.32,1292.2,0,0,0,0.55,0,0,1.17,0
 96-106,0,0,0,287.77,12.07,3.58,38.18,0.95,49.24,0.64,29.69,23.86,0,0.78,40.8,18.97,1.03,19.11,0,0,12.11,9.32,1.41,1.81,69.24,0,28.02,2.34,0,8.51,1140.15,0,0,0,8.88,4.84,0.96,14.06,8.27
108-118,0,0,0,308.72,19.09,1.22,33.46,0.76,102.06,2.02,8.44,19.82,0,0,49.06,42.1,0,8.32,1.1,0,20.34,29.02,4.63,1.6,58.23,0,31.9,0,0,0,981.05,0,0,1.46,20.01,0,0,1.3,0
120,0,0,0,239.06,27.71,0,6.03,0,62.95,0,0,5.25,0,0,65.81,27.85,0,17.16,3.42,0,35.88,6.05,0,0,30.31,0,14.51,3,0,6.17,652.43,0,0,0,3.81,0,0,15.4,0
