stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,10.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.85,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.26,0.99,0.99,0,0,0,0,0.96,0,0,1.07,0,0,0,16.32,0,0,0,0,0,3.78,14.06,0,0,0
 24-34,0,0,0,10.15,0,2.52,0,2.11,2.33,0,0,20.08,0,0,20.92,141.16,2.88,0.64,0,0,0.63,6.56,38.61,0,6.41,0
 36-46,0,0,0,18.76,0,0,0,4.63,1.55,0,3.71,51.86,0,0,13.71,493.36,2.13,0,0,0,0,0,78.6,0,11.35,0
 48-58,0,0.46,0,20.93,2.44,0,0.41,1.76,0.49,0,0,42.33,0,0.75,14,520.35,0,0,0,0,0.4,0,76.21,0,4.69,0
 60-70,0,0,0,27.97,2.26,0,0.85,4.38,3.84,0,0,82.77,0,0.75,6.38,421.67,0,0,0,0,0,0,57.96,3.2,15.72,0
 72-82,0,0.59,0,17.72,0,0,3.01,1.65,3.87,0,0,75.17,0,12.19,9.44,207.08,0,0,0,0,0,0,32.46,0.52,21.27,3.63
 84-94,0,0,0,29.6,0,0,1.86,6.63,1.22,0,0,79.05,0,6.17,9.72,244.28,0,0,0,3.46,0,0,23.48,0,15.33,6.26
 96-106,0,0,7.51,6.4,0,0.59,4.53,5.4,1.54,0.86,0,42.1,0,1.41,2.25,136.26,0,2.99,1.33,0,0,0,2.45,2.45,5.73,0
108-118,0,0,0,18.72,0,0,0.84,0.85,0,0,0,49.38,0,1,2.71,127.72,0,0.66,0,0,0,0,1.74,0,6.4,5.07
120,0,0,0,5.71,0,0,0,6.03,0,0,0,11.35,1.65,0,11.42,148.14,0,0,0,0,0,0,0,0,1.36,0
