stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,22.1,131.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,20.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.27,0,0,0,11.56,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.75,0,1.01,0,0,0,1.73,0,0,0,0,0,0,0,1.35,10.83,0,0,0,0,0,1.12,4.81,0,1.54,0.96,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.8,0.83,0.63,0,0,0,0,0,0.79,5.94,0.89,36.16,0,2.41,0.67,0,0.85,0,0,1.58,1.16,6.57,0,0,1.33,0
 36-46,0,0,0,0,0,0,2.03,0,0,0,1.79,0,0,0,0.63,0,0,2.35,0,48.49,0,0,0,0,0,0,0,0,0,10.01,0,0,0,0
 48-58,0,0,0,0,0.83,0,1.17,0,0,0,1.63,0,0,0,0,0,0,2.44,0,47.74,0.52,0,0.52,0,0.4,0,0,0,0,10.74,0,0,0,0
 60-70,0,0,0,0,2.05,0,31.61,0,0.61,0.67,3.78,0,0.58,0,0,0,0.7,9.55,0.8,97.82,0,0,0,0,0,0,0,0,0,5.69,0.77,0,0.58,0
 72-82,0,0,0,0,1.16,0,47.9,0,0.57,0,1.66,0,0,0,0,0,0,5.54,0.96,55.76,0,0,1.1,0,1,0,0,0,0,3.52,0,0,0,0
 84-94,0,0,0,0,3.8,0,30.24,0,0,0,2.54,0,0,0,0,0.6,0,8.39,0,39.96,0.69,3.65,0,0,1.22,0,0,0,0,2.08,0,0,1.08,0
 96-106,0,0,0,0,2.62,0,96.98,0.62,0,0,8.39,0.8,0,0.87,0,0.58,0,5.73,0,40.43,0.62,0,0.77,0,2.21,0,0,0,0,0,0,0,0.62,0.69
108-118,0,0,1.18,0,1.89,4.86,8.87,0,0,1.13,4.1,0,0,0.52,0,0,0,4.13,0,30.6,0,0,0,0,1.89,0,0,0,0,4.41,0,0,0,1.43
120,0,0,0,0,1.16,0,16.99,0,0,0,0,0,0,0,0,0,0,6.24,0,53.65,0,6.15,0,0,0,0,0,0,0,0,1.63,1.54,0,2.08
