stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,44.02,0,0,0,0,0,0,0,0,0,0,0,0,12.46,17.23,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,4.5,0,0,0,0,0,0,0,0,4.47,0,0,0,3.79,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,11.75,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,19.17,0,3.25,0,0,0,0,13.67,0,0,0,0,0
 24-34,0,0,0,0,2.48,0,0,0,23.23,1.58,0,0,0,215.83,0,13.86,0,0,6.73,0,68.14,0,0,0.84,0,0
 36-46,0,0,0.94,0,6.54,0,0,0,0,0,0,0,0,585.27,0,16.65,0,0,1.47,3.13,118.07,0,0,0,0,3.36
 48-58,0,0,0,2.22,37.3,0,15.04,0,0,4.01,0,0,0,643.39,0,9.73,1.72,0,4.77,0,129.63,0,0,0,0,0
 60-70,0,0,5.84,0,119.75,0,8.47,0,0,10.03,0,0,0.67,1001.33,0,9.53,0,0,2.67,0,147.08,0,0,0,1.13,1.78
 72-82,0,0,1.58,1.14,135.99,0,4.97,0,0,17.1,0,0,0,830.33,0,14.65,0,0,0,0,87.78,0,0.73,1.81,1.15,0
 84-94,0,0.73,0,0,99.85,1.43,8.89,1,0,12.55,0,8.61,0,523.52,0,21.84,0,0,1.09,0,48.54,0,0,0,0,0
 96-106,0,0,4.02,3.56,181.4,0,5.51,0,0,4.12,1.22,1.14,1.26,548.74,0,18.4,0,0,0,0,27.7,0,0,0.67,1.58,0
108-118,0,0,4.71,0,126.8,0,8.2,1.71,0,5.04,0,0,0.64,662.83,0,9,0,0,1.29,0,31.11,0.67,0,0,1.11,0
120,0,0,12.9,0,126.35,0,6.14,0,0,26.68,0,0,0,1086.34,0,6.69,0,0,0,0,64.47,0,0,1.72,0,0
