stage,epidermis,eye,glial,gut,heart,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.37,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.31,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.37,0.99,0,0,0,0,0,1.15,0,0,0,0
 24-34,1.66,175.64,0,0,0,0,0,0,0,2.23,0,0.99,11.71,0,0,0,1.04,0,2.17,0,1.83,0,0
 36-46,0,412.67,1.4,0.67,6.49,0,0,0,0,3.29,0,0,14.41,0,0,2.91,0.56,0,3.66,0,1.74,0,0
 48-58,0,318.92,0,0,0,0,0,0,0.46,1.57,0,0.38,9.42,0,0,0.99,0,0,1.08,0,0,0,0.6
 60-70,0,393.47,3.01,0,0,0,0,0,0.63,1.44,2.35,0,9.18,0,0,1.25,0,0,4.49,0,0,0,0
 72-82,0,386.27,1.07,0,0.66,0.6,0,0,0,5.38,0,0.59,10.65,0,0,0,0,0,2.46,0,2.08,0,0
 84-94,4.33,302.45,4.06,0,1.01,0,0,0,7.86,0,0,0,7.64,0,0,4.22,1.54,0,0,1.32,0,0,0
 96-106,0,119.69,16.61,0.74,0,0.62,0,0,0,1.97,0,0,0,0,0,0,0,0,0,0,0,1.53,0
108-118,1.46,284.78,7.58,0,0,0,1.91,1.44,0,0.47,0,0.8,3.2,0,0,0,0,0.69,3.24,0,0,0,0
120,6.84,220.73,29.55,3.14,0,0,0,0,0,9.25,0,0,0,1.7,19.84,0,0,0,0,0,0,0,0
