stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,33.14,392.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,33.11,707.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.57,0,0,9.2,0,0,0,0,0,0,0,0
  7-9,0,11.79,23.07,0,0,65.36,0,0,0,4.2,0,0,0,0,0,0,0,435.56,3.38,0,0,140.54,0,0,0,0,0,0,0,0
 10-12,0,5.72,29.02,0,0,11.23,0,0,0,0,0,0,0,0,0,0,0,402.75,4.22,0,0,100.25,0,0,0,25.71,0,3.28,0,0
 14-21,0,0,0.89,4.86,0.89,7.68,0,8.3,1.08,0,0,0,0,0,5.81,0,5.63,136.29,0,1.71,0,3.47,0,6.76,6.3,0,8.14,41.16,0,1.01
 24-34,0,0,0,2.58,1.6,28.07,0,3.54,0,0,0,0,0,0.74,27.73,0,3.41,184.82,1.09,0.69,3.59,0,0,2.95,0,0,0,29.47,0,0.78
 36-46,0,0,0,3.79,1.2,38.42,0,13.74,0,0,0,0,1.21,0,18.2,1.7,4.82,89.71,0,0,0.57,0,0,2.3,0,0,0,13.68,0,0.71
 48-58,0,0,0,2.07,0,20.32,0,1.76,0,0,3.79,6.78,0,0,13.06,0.4,2.28,63.08,0,0,0.4,0,0.39,0,0,0,0,1.28,0,0.4
 60-70,0,0,0,2.31,0,16.08,0,3.39,0.59,0,0,0,0,0,9.92,0,2.92,23.3,0.87,0,5.45,0,0.71,1.81,0,0.59,0,1.12,0,1.05
 72-82,0,0,0,0.71,0,1.33,0,4.27,0,0,0,0,0,0,4.16,0,2.12,12.44,0.58,0,4.38,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,4.44,0.58,4.98,0,4.01,0,0,0.74,0,0,0,9.11,1.38,0.8,12.69,0,0,0,0,0,0.6,0,0,0,0,0,0.59
 96-106,0,0,0,0.78,0,3.32,0.65,0,0,0,4.44,0,0.88,0,4.79,0,1.06,6.28,0,0,0,0,0,0,0,0,0,0,0,1.05
108-118,0,0,0,2.65,0.84,11.72,0.68,4.75,0,0,0,0,2.77,0,8.57,0,2.64,20.25,0,0,2,0,0,3.61,0,0,0,0,0,0.42
120,0,0,0,0,2.94,7.4,1.82,11.95,0,0,2.29,1.45,0,0,14.15,13.87,1.58,19.19,0,0,0,0,0,0,0,0,0,0,3.8,0
