stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle,xanthophores
  3-4,43.98,905.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.95,0,0,0,0,0,0,0,0,0
  5-6,23.53,339.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,10.29,0,6.9,0,0,0,0,0,0,0,0,0
  7-9,0,11.1,14.39,0,0,23.31,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,225.29,10.55,0,0,81.43,0,0,7.32,0,0,0,0,0,0,0,0
 10-12,0,11.12,11.32,0,0,25.8,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,360.47,0,0,0,34.36,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,69.57,2.09,1.72,0,0,1.25,0,3.14,1.1,0,0,0,0,0,0,3.09,0,2.93,29.74,0,1.13,0,0,0,0,0,1.12,0,137.45,3.81,10.38,0,0,0
 24-34,0,0,0,9.76,2.51,9.64,2.24,0,3.44,0.67,0,0,1.01,0,0,1.12,0,6,0.6,0,14.11,42.92,0,0.78,0.6,0,0,1.27,0,0,0,90.64,0.73,9.11,0,0,0
 36-46,0,0,0,1.29,0,2.95,1.33,0,0,0,0,0,0,0,0.71,0,0,19.21,2.4,0,0.93,11.08,1.39,0,0,0,0,5.36,0,0,0,26.83,0,4.91,0,0,0
 48-58,0,0,0,0,0,9.23,0,0,7.42,0,0,0,0,0,0.8,0,0,32.75,1.99,0,0.38,5.6,0,0,0,0,0,0,0,0,0,16.22,0,1.55,0,0,4.52
 60-70,0,0,0,0,0.61,35.74,1.38,0,0.6,0,0,0,2.61,0,0,0,0,4.76,4.31,1.78,2.2,21.67,0,0,0,0,0,0,0,0,3.48,4.26,0,6.53,0,0.9,0
 72-82,0,0,0,2.55,1.96,68.63,0,0,4.81,0,0,0,0.49,0,0,0,0.96,3.53,12.16,3.91,6.54,10.16,0.52,0,0.54,0,0,4.13,0,0,0,2.2,0,0,2.25,8.08,0
 84-94,0,0,0,2.54,0,95.45,6.56,1.21,13.91,0,0,2.26,0,0,2.39,1.85,0,26.57,12.88,14.35,0.81,16.22,0,0,0,0,0,1.09,0,0,0,4.87,0,1.3,0,36.87,2.17
 96-106,0,0,0,2.39,4.81,142.86,4.01,0,14.25,0,0,1.68,0,0,0,0,0.63,3.87,14.25,8.32,3.42,19.72,0,2,0,0,0,0.93,0,0,0,3.53,0,0,5.7,22.34,9.61
108-118,0,0,0,2.1,4.96,180.86,3.83,0,7.28,0.53,0,0,2.47,0.5,6.34,0,0,19.35,36.09,1.85,15.62,25.85,0,0,0,0,0,0.43,0,0,0,4.6,0,0,0,11.31,0
120,0,0,0,2.57,0,332.35,9.47,0,5.43,0,0,0,0,1.76,0,0,0,1.33,18.23,17.45,1.88,93.22,0,0,4.96,0,2.54,0,0,0,0,1.64,0,5.09,8.97,28.7,0
