stage,blastomeres,eye,fin_mesenchyme,immune,liver,mesenchyme,neural,notochord,olfactory,otic,pericytes,pronephros,visceral_smooth_muscle
  3-4,43.58,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.8,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0.83,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.45,0
 48-58,0,0,0.57,0,0,0,1.18,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.91,0,0,0,0,0,0
 72-82,0,0,0,0.64,2.37,0,14.91,0.5,0,0.9,0,0,0
 84-94,0,1.55,0,1.97,3.61,0,8.99,0,0,0,0,0,0
 96-106,0,1.77,0,20.38,4.53,1.9,11.24,0,0,0,1.11,1.46,0
108-118,0,0,0,14.11,5.74,0.87,1.67,0,0.47,0,0,0,0
120,0,0,0,108.92,1.23,0,47.58,0,0,0,0,0,8.57
