stage,epidermis,fin.epithelia,neural,paraxial.mesoderm,taste
  7-9,0,0,15.43,0,0
 10-12,0,0,0,5.52,0
 24-34,0,0,1.25,0,0
 36-46,0,0,1.18,0,0
 48-58,0,0,0.86,0,0
 72-82,0,0,0,0,2.22
 84-94,0,0,0,0,1.9
 96-106,4.03,0,0,0,34.65
108-118,8.22,0,0,0,8.4
120,0,4.03,0,0,1.27
