stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,neural,notochord,periderm,pgc,presomitic.mesoderm,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.26,0,5.41,0,1.92,0.92,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,6.05,0,17.05,0,0,0,0,0,0
 36-46,0,0.77,0,0,0.66,0,0,0,0,0,0,0,0,0,0,1.84,0.79,16.73,0,0,0,0,0,0
 48-58,0,2.05,0,0,0,2.41,0,0,0,0,0,0,0,0,0,9.09,0,9.96,0,0,0,0,0,0
 60-70,0,4.52,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0,19.38,0,0,2.85,0,0,0
 72-82,0,0.49,2.31,0,0,0,0,0,0,0,0,0,0,0,0,2.39,0,16.14,0,0,0,0,1.37,8.1
 84-94,0,3.05,0,0,0,2.42,0.58,0,0,0.76,0,0,0,3.48,2.54,0,0,38.81,0,0,0,0,0,0
 96-106,0,7.89,0,0,0,2.28,0,0,0,1.43,0.66,6.49,0,1.67,0,3.77,0,75.73,0,0,0,0,0,0
108-118,0,14.73,0,0.57,3.39,2.21,0,0.76,0,0,0,0,4.19,2.81,0,2.56,0,65.13,0.79,0,0,0.56,0,0
120,0,22.82,0,0,0,3.25,0,0,1.6,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0
