stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.52,107.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,3.91,0,0,0,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.91,8.98,0,0,15.56,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.07,13.22,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,6.48,281.72,2.12,0,19.52,0,1.93,0,23.48,8.27,7.36,0,0,0,0,0,0,49.99,0,0,26.55,160.81,13.67,0,3.17,0,0,66.2,25.02,3.82,1.03,8.69,107.54,0,0,10.38,0,0
 24-34,0,0,0,2.53,202.12,8.09,0,86.71,0,14.82,0.68,128.82,1.16,11.91,0,0,0,13.73,5.96,0,155.11,0.84,0.81,48.08,393.96,35.69,2.32,4.53,0,0,460.69,0,19.07,0,3.98,253.19,0,0,43.83,0,0
 36-46,0,0,0,0,166.76,1.11,0,298.76,0,28.26,1.09,236.1,0,12.34,0,0,0,3.5,0.83,0,207.69,2.36,12.53,67.38,314.01,71.84,1.97,8.78,0,0.77,644.66,0,33.11,0,0,269.66,0,1.23,57.6,0,0
 48-58,0,0,0.46,0,96.43,1.27,0,292.75,1.84,17.85,4.28,297.48,0.94,7.26,0,0,0,4.57,4.52,7.93,235.98,0.97,6.93,70.7,324.5,39.7,4.36,7.34,0,2.19,315.7,0,5.47,0,0,296.91,0,1.39,34.89,0,0
 60-70,0,0,0,0,141.02,0,0,359.43,0,27.79,18.61,215.72,0.93,11.55,0,1.4,1.16,16.79,0,0,425.3,0,15.96,66.49,222.12,23.85,1.72,14.72,0,4.68,283.59,0,2.84,0,0,93.72,2.13,9.26,30.13,5.34,4.46
 72-82,0,0,1.36,0,112.68,0,0,310.95,1.33,25.34,15.65,217.71,5.86,8.71,0,0,0,6.15,0,0,685.79,3.33,44.15,55.43,220.34,11.04,2.39,32.4,0,5.55,145.36,0,9.71,0,0,54.18,8.56,7.79,47.11,23.54,0
 84-94,0,0,4.29,0,196.71,1.87,2.96,346.03,9.53,57.55,4.18,191.08,15.42,15.93,0,5.28,2.29,7.64,1.78,0,613.89,7.89,44.55,29.44,160.47,29.56,6.07,29.35,0,3.83,408.95,0,25.92,0,0,44.93,10.47,27.08,36.92,34.13,16.38
 96-106,0,0,5.74,0,210.31,5,0,233.78,1.05,30.12,2.68,169.37,14.62,10.54,1.99,2.89,8.58,25.21,0,0,508.24,8.82,40.67,44.77,247.61,21.3,8.47,27.85,0,24.71,320.71,0,25.04,0.6,0,38.11,29.57,16.65,33.63,51.05,10.6
108-118,3.02,0,4.31,0.45,270.47,1.07,1.08,250.07,0,68.33,5,156.48,19.44,5.02,0.93,6.97,2.1,19.58,0.48,0,688.15,2.97,48.69,50.82,287.52,25.58,3.74,32.64,0,16.74,342.12,0,15.69,0,0,12.77,31.53,21.72,44.36,52.17,0
120,0,0,14.95,0,301.16,0,14.33,275.83,0,70.95,10.31,182.59,27.96,2.18,3.52,1.07,4.88,16.2,0,0,738.59,8.43,86.54,55.7,346.25,60.28,0,10.75,0,17.09,161.71,1.12,21.98,0,0,16.9,17.98,5.68,53,50.88,0
