stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,123.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.11,0,0,0,0,0,0,0,0,0
  5-6,22.82,577.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.04,0,0,0,15,7.63,0,0,0,0,0,0,0,0,0
  7-9,15.76,42.01,0,44.64,0,0,113.88,0,0,0,10.24,0,0,0,0,0,0,0,0,647.08,29.04,0,0,259.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,55.47,0,44.83,0,7.8,111.62,0,0,0,12.01,0,0,0,0,0,0,0,0,1017.05,30.77,0,0,371.51,0,0,0,47.26,0,4.33,0,0,0,0
 14-21,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,0.84,0,0,0,0,0,1.2,0,0.87,0.98,0,0,0,0
 24-34,0,0,0,0,0,0,1.95,0,0,0,0,0.88,0,0,0,2.45,0,0,0,14.45,0,0,0,0,0,0,0,0,0,2.57,0,0,0,0
 36-46,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0,0,1.57,0,0,0,31.99,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0
 48-58,0,0,0,0,1.74,0,8.42,0,1.08,0,0,0,0,0,0,1.82,0,0,0.47,48.22,0,0,0,0,1.32,0.65,0,0,0,10.27,0,0,0,0
 60-70,0,0,0,0,0,0,17.62,0,0.68,1.06,0,0,0,0,0,4.25,0,0.69,0,117.99,0,0,0,0,0,0,0,0,0,11.77,0,0,0,7.68
 72-82,0,0,0,0,3.84,0.55,19.54,1.1,3.83,0,0,0.55,0,0,0,9.72,0.61,0,0,136.31,0,0.67,0.76,0,6.7,0,0,0,0,21.08,0,0,1.96,0
 84-94,0,0,0,0,1.6,4.51,60.36,1.31,2.31,0.98,0,2.87,1.41,0,3.38,1.02,0,0,1.47,114.06,1.82,0,0,0,4.41,0,0,0,0,9.57,1.14,0,1.76,4.41
 96-106,0,0,0,0,2.13,3,29.45,0,7.91,1.35,0,3.08,0,0.71,0,4.15,1.64,3.41,1.84,110.29,0,0.92,0,0,9.33,0,0,0,0,4.62,0,0,5.54,0
108-118,0,0,0.41,0.74,5.25,1,37.51,0,11.43,0,0,2.91,5.87,0,3.62,7.27,0,0,0,114,0,0.47,0,0,17.92,0,0,1.07,0,5.32,0,7.35,0,0
120,0,0,0,0,11.04,6.4,15.52,0,11.51,0,0,9.42,0,0,0,12.89,0,0,0,210.69,0,0,1.4,0,21.81,0,0,1.2,0,17.92,0,0,1.48,9.99
