stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,330.82,5818.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155.01,0,0,0,0,0,0,0,0,0,0,0
  5-6,188.47,4011.59,0,0,0,0,0,0,0,0,0,0,19.67,0,0,0,0,0,0,0,0,0,0,0,103.51,0,0,0,0,85.08,0,0,0,0,0,0,0,0,0,0,0
  7-9,58.62,54.74,0,111.14,0,0,207.48,0,0,0,0,0,78.17,0,0,0,0,0,0,0,0,0,0,0,1837.26,64.7,0,0,482.44,4.29,57.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,38,0,77.19,0,20.18,227.78,0,0,0,0,0,7.46,0,0,0,0,0,0,0,0,0,0,0,1568.75,84.63,0,0,439.94,7.72,5.47,0,44.55,0,8.15,3.51,0,0,0,0,0
 14-21,0,0,0,1.25,16.13,2.57,8.77,0,0,0,4.54,1.38,0,1.75,0,0.89,0,0,0,0,3.98,0,0,5.95,94.33,0.83,0,0.89,0.99,0,0,13.68,1.73,1.17,16.27,37.84,0,0,0,0,0
 24-34,0,0,0.84,0,5.33,0,19.71,0,0.7,3.01,2.8,2.23,0,2.01,1.7,3.23,1.76,0,0,1.95,30.34,0,0,14.87,236.98,0,0,3.11,0,6.19,0,0,0,0,4.77,31.56,0,0,5.96,0,3.75
 36-46,0,0,0,0,0.62,0,5.53,2.87,4.75,2.24,14.79,0,0.59,0,0.73,1.25,4.43,0,2.76,0.87,20.89,0,0,5.31,151.09,0,0,0.59,0,6.94,0,0,0,1.16,0.83,22.94,0,0,4.97,0,1.2
 48-58,0,0,0,0,4.98,0,19.3,0.76,3.56,0.38,19.08,0.39,0,0,3.86,3.14,0,0.39,0,0,29.12,0,2.12,8.73,85.05,0.66,0,0.74,0,11.23,0,0,0,0.46,0,20.54,0,0,2,0,3.91
 60-70,0,0,0,0,8.04,0,22.56,2.26,0,0.98,23.98,1.41,0,0.92,0,0,0,0,2.13,3.44,44.35,0,0,3.01,48.95,0,0,0.65,0,0.63,0,0,0,0,0,3.31,0,0,0,0,0
 72-82,0,0,0,0,7.82,0,21.19,0,0,1.69,21.61,0.77,0,1.72,0.69,0,1.22,1.98,0,0,42.53,1.61,0,4.27,36.84,0.53,2.35,1.6,0,4.31,0,0,0.63,0,0,2.18,0,1.45,5.77,2.7,0
 84-94,0,0,0,0,5.16,0,19.23,0,0,7.48,11.81,1.23,0,0,3.39,4.61,4.06,0,2.91,0.72,58.62,0,0.63,2.61,31.91,0,0,0.55,0,4.14,0,0,0,0,0,0,0,0,3.63,0,0
 96-106,0,0,0,0,2.47,0,3.6,0,0,0.65,12.22,2.18,0,0.88,3.89,3.05,0,0,2.54,0,18.75,0.77,3.03,2.28,13.13,0,0,0,0,0.72,0,0,1,0,0,0.66,0,1.69,3.21,0,0
108-118,0,0,0.75,0,6.08,0,11.99,2.37,0.61,0,11.59,2.05,0,0,5.86,1.59,0,0.63,0.47,0,12.84,0,0,0.48,20.3,0,0.95,3.12,0,2.82,0,0,0,0,0,0,0.66,0.53,4.96,0.73,0.5
120,0,0,0,0,3.92,0,3.46,0,0,0,19.01,8.33,0,1.85,1.88,6.65,0,0,0,0,12,0,0,0,76.11,0,0,2.43,0,11.52,0,0,0,0,0,5.09,0,0,0,0,0
