stage,epidermis,eye,glial,mesenchyme,muscle,neural,otic,pronephros,spinal_cord
 14-21,0,1.78,0,0,0,1.01,0,0,1.19
 24-34,0,0,0.9,0,0,2.35,0.67,0,2.14
 36-46,0,0,0,1.26,0.63,0,0,0,0
 48-58,0,0.69,0.75,0,0,6.93,0,2.86,1.89
 60-70,0,1.36,0,0,0,0.93,0,0,0
 84-94,0,0,0,0,0,1.54,0,0,0
108-118,1.74,0,0,0,0,0,0,0,0
120,0,3.81,0,0,0,0,0,0,0
