stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.97,8.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.57,0,0,0,0,0,0,0,0,0,0,0,0,3.55,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,1.45,1.03,0,3.19,1.76,0,0,0,0
 24-34,0,0,0,0,0,13.09,2.14,0,0,0,0.59,0,0,0,0,0,0,7.18,0,0,13.3,13.84,0,0,0,2.16,0,3.47,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,2.79,25.13,0,0,0.73,0,0,4.75,0,0,0,0,128.05,6.93,0,5.6,21.38,0,0,0,15.13,0,33.68,0,2.43,0,0,0,0
 48-58,0,0,0,1.42,0,13.34,34.33,0,0,5.02,0,0,0,0,3.18,0,0,114.02,3.27,0,0.45,61.13,0,0,0,0.65,0,93.13,0,1.53,0,0,0,0.84
 60-70,0,0,0.7,0,6.94,15.82,22.75,0,0,39.69,0,0,11.03,7.21,0,0,0,93.55,22.29,2.35,0.68,44.08,0.72,0,0,0.63,0,87.54,0,1.66,0,6.72,0,8.53
 72-82,0,0,0,0,0.55,6.9,24.2,0,2.53,75.07,0,0,0.65,0,0,1.33,0,30.23,27.61,0,8.22,48.32,0,0,0,0,0,38.31,0,1.16,0,0.97,0.59,2.08
 84-94,0,0,0,8.49,0.87,11.9,17.9,0,1.92,118.06,0.63,0,0,1.52,0,0,0.68,111.26,16.34,12.51,9.87,64.3,0,0,0,7.37,0,73.32,0,3.49,0,4.61,0,0
 96-106,0,0,3.03,3.64,7.75,29.13,62.96,0.83,0,206.32,1.04,0,0.66,0,0,0,3.11,29.61,26.22,0,26.81,47.61,0,1.29,0,5.26,0,73.4,0,12.84,0,1.58,0,0
108-118,0,0,0,2.63,7.61,56.49,74.36,0,2.49,284.27,0,0,2.54,0.69,1.56,0,5.78,86.4,39.51,0,21.28,46.7,1.11,0,0,6.74,0,104.77,0,0.89,0.42,0,0,3.79
120,0,0,0,4.83,22.08,57.62,247.47,0,0,172.43,0,0,4.14,0,0,0,6.14,21.57,47.69,0,17.67,78.86,0,0,0,4.85,0,44.5,0,0,0,6.48,7.69,0
