stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,45.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,17.99,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.45,0,0,12.33,0,0,0,0,0,0,0,0,0,0,0,0,0,49.35,0,0,0,58.6,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.84,0,0,0,0,1.06,0,0,0,0,0,0,3.64,0,0,3.85,36.81,0,0,0,0,0,0,3.84,19.08,0,0,0,0,0
 24-34,0,2.18,0,1.8,0,8.6,0,0,0,0,1.36,0,0,0,0,11.48,0,0,2.6,198.49,0.9,1.95,0.68,0,0,0,0,60.18,0,0,21.51,0,0
 36-46,0,0,0,0,0,28.88,0,0.65,6.14,0,0,0,0,0,5.75,9.61,0,1.73,3.44,211,5.33,3.45,0,0,0,18.02,0,102.38,0,0,5.46,0,0
 48-58,0,0.46,0,7.01,0,60.3,2.14,0,7.06,0,0,0,0.44,0.5,2.56,19.73,0.7,0,0.85,227,0.45,2.24,0.39,0,0,0,0,43.53,0,0,5.33,0,0
 60-70,0,0,0,0,0,117.26,2.64,0,16.7,0,2.71,1.92,0,0,0,21,0,0.95,1.46,218.23,0,6.76,0,0,0,0.69,0,35.26,0,0,3.57,0,1.24
 72-82,0,0.54,0,1.02,0,127.76,0,0,10.57,0.76,0,0,0.5,0,0,16.93,0,0,1.97,184.95,0,2.63,1.4,0,1.31,2.18,0,21.04,0,0,2.82,0,0
 84-94,0,0.66,0,1.63,0,113.62,0.64,0.73,12.16,0,0,0.65,0,0,0,33.03,0,0,0,162.97,0,0,8.82,0,0,2.87,0,13.59,0,3.03,1.99,0,0
 96-106,0,0,0,1.67,0,93.45,0.91,8.83,3.26,0,0,0.58,0,7.78,0,13.04,0.7,0,0,126.61,0,0.69,8.68,0,0,1.54,0,7.27,0,0,6.46,0.58,0
108-118,0,0,0,2.55,0,68.49,0,2.02,9.99,1.65,0,3.14,0.67,2.47,0,7.17,0,0,2.01,110.02,0,1.83,9.5,0,0,7.83,0,12.76,1.01,0,3.57,0.87,0
120,0,0,0,17.59,4.22,86.75,0,1.44,6.63,0,0,0,0,3.51,0,11.89,0,16.89,1.82,319.08,0,0,15.42,0,0,0,0,16.69,0,0,31.49,0,0
