stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,0,21.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,12.57,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,5.37,0,0,11.05,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.01,0,0,0,33.57,0,0,0,5.22,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,3.05,0,0,0,0,0,0,0,0,0,0,1.01,0,0,9.44,0,0,0,0,0,0,3.68,0,1.03,0,0,0,0
 24-34,0,0,0,0,5.35,0,0,4.11,0,0,0,0,0,0,0,0,0,0.78,2.08,0,0,70.53,0,6.2,0,0,0,0,0,0.97,6.17,0,0,0,0
 36-46,0,0,0,0,0,0,0,14.04,0,0,2.61,0,0,0,0,0,0,5.68,0.72,0,0.82,164.83,0,0,0,0,0,6.74,0,0,3.93,0,0,0.75,0
 48-58,0,0,0,0,7.53,0,0,15.01,0,0,3.75,0,0,0,0,0,0,3.33,0.99,0,8.92,212.44,0,1.65,0,0,0,1.34,0,0,8.63,0,0,0,0
 60-70,0,0,0,0,6.27,0,0,69.91,0,0.75,12.47,0,1.05,0,0,0,0,0,16.93,0,2.89,542.85,0,0,0,0,0,0,0,0,18.41,0,0,0,0
 72-82,0,0,0,0,2.57,0,0,227.24,2.09,0,15.56,0,0,0,3.21,1.15,0,0.64,24.27,7.8,4.11,672.51,0,0.74,0,0,0,0,0,0,48.29,0.56,0,1.31,0
 84-94,0,0,1.29,1.04,2.72,0.75,0,191.57,0,0.67,20.43,0.76,5.54,0,0,0,2.93,18.23,44.54,2.66,2.43,457.26,0,0,2.81,0,0,1.87,0,0,35.05,0,0,0,0
 96-106,0,0,0,0,4.86,0,0,341.9,0,2.8,22.96,0,0,0.66,0,0.75,0,1.89,8.71,12.08,0,591.35,0,0,0.63,0,0,0,0,0,11.94,0,0,0,0
108-118,0,0,0,0,9.24,1.55,0,277.35,0,0,25.47,3.8,1.06,1.1,0.42,0,3.11,6.46,24.45,8.43,10.42,551.64,0,4.06,0.88,0,1.02,0.89,0,1.21,5.94,0,1.51,6.49,1.02
120,0,0,0,0,1.69,0,5.97,259.75,2.08,0,44.6,8.16,5.27,0,0,2.98,0,5.4,32.64,33.38,0,970.96,0,0,24.09,0,12.2,3,0,0,31.62,0,0,7.02,0
