stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0
  5-6,6.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.67,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.32,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0.61,0,1.04,0.86,0,0,0,0,0,0,0,0,0,0,13.18,0,0,3.81,4.34,0,0,0,0,0,1.68,0,0,0,0,0,0,9.41,0,0
 36-46,0,0,7.98,0,0,1.25,0,1.35,6.03,1.01,0,0,0,0,0,0.72,0,0,0,121.02,0,0,4.15,7.1,0,0,0.91,0,0,1.17,0,0,0,0,0,0,0,0,0.66
 48-58,0,0,2.64,0,0,12.4,0,4.65,8.18,1.05,0,0,0,0,0,0.85,0,0,0,1554.42,0,0,3.58,39.27,0.39,0,0.69,0,0,0.54,0,0,0,1.51,0,1.22,0,0,6.67
 60-70,0,0,11.37,0.71,0,85.9,0,1.35,6.96,19.15,0,0,0,0,0,1.77,0,0,0,10845.3,0,0.59,11.52,119.42,1.25,2.55,5.38,0,0,9.58,0,0,0,26.41,0,11.3,1.56,0,2.92
 72-82,0,0,24.83,27.89,0,718.95,0,8,45.5,96.28,1.04,0,2.75,0.54,0,16.97,1.14,0,0,27186.1,0,4.31,12.3,427.79,18.1,3.42,17.34,0,2.17,13.91,0,0,3.45,33.03,0.51,37.81,9.26,2.17,28.93
 84-94,0,0,67.17,2.76,0.92,515.93,19.93,15.19,19.17,45.65,7.16,0.64,0,1.25,0,26.18,0,0,4.83,30549.37,2.35,0,21.43,209.51,5.04,2.26,5.15,0,0.6,12.48,0,55.96,0,18.84,5.91,40.47,18.8,48.99,4.35
 96-106,0,0.81,140.43,50.41,5.39,541.67,7.28,11.36,98.91,97.04,12.08,0,4.5,6.39,2.2,8.83,6.81,25.27,0,29503.33,21.06,34.17,15.82,274.27,0,10.18,28.27,1.2,0,45.83,3.82,0,1.14,14.23,0,33.19,23.49,34.17,16.4
108-118,0,1.87,84.94,21.57,1.39,439.64,0,32.08,62.17,88.64,21.75,0,0,8.02,10.09,11.96,0.53,13.25,0,30492.32,1.09,4.25,12.15,316.94,5.21,2.11,38.77,0,0,33.14,0,0,0,5.5,5.83,48.82,6.87,1.31,7.17
120,0,3.29,145.81,1.42,1.14,269.28,0,4.07,47.16,102.48,12.38,0,0,3.21,0,2.83,5.46,5.3,0,23979.59,0,13.18,8.31,318.72,65.53,25.14,5.78,0,0,15.72,0,0,0,0,0,69.66,0,10.35,16.89
