stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,43.03,603.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,699.86,0,0,0,0,0,0,0,0,0,0
  5-6,0,115.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48,0,0,0,0,0,1052.8,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.41,0,0,0,0,0,8.18,0,0,0,0,5.23,0,0,0,0,0,0,0,0,0,0,0,109.58,0,0,0,17.25,0,286.71,15.24,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,37.13,0,0,0,0,0,0,0,0,0,0,0,189.64,0,0,0,36.87,0,33.83,0,0,9.48,0,0,0,0,0,0,0
 14-21,0,0,0,1.82,8.68,0,0,4.06,0,0,1.32,7.53,4.61,0,0,10.28,0,2.25,0,0,1.69,2.35,0,0.91,21.05,0,0,54.67,0,0,350.92,0.91,0.83,5.75,0,0.95,13.4,0,0,0,0
 24-34,0,0,0,2.93,9.25,0,0,17.65,0,0,0,4.29,1.52,0,2.67,16.63,0,10.85,0,0,6.94,15.83,0,1.02,113.44,6.37,13.13,16.19,0,0,467,0,0,26.42,0.95,0.9,8.35,0,0,1.28,0
 36-46,0,0,0,0,4.23,0,0,13.44,1.14,0,1.53,2.44,0,0,0,0,0,1.21,1.64,0,5.57,11.78,0,2.28,160.68,0,6.78,24.94,0,0,597.39,3.07,0,16.37,0,0,2.35,0,0,0,0
 48-58,0,0,0,0,14.55,0.41,0,11.04,2.2,0,4.47,2.39,1.82,0,0,1.24,0,16.44,5.56,0.59,15.02,14.01,0.4,1.13,69.74,0,1.74,21.37,0,0.53,400.19,0,0,14.27,0,0,5.35,0,0,0.58,0
 60-70,0,0,0.7,0,31.63,0,0,8.39,8.41,0,21.81,15.06,0.97,0,2.45,2.64,0,17.14,5.49,0,12.99,10.37,0,0,93.07,1.83,6.65,21.57,0,0,353.91,0,0,8.7,0,0,10.27,4.03,0,0,0
 72-82,0,0,1.54,0,42.3,0,2.97,12.39,0.51,3.28,45.99,9.97,0,0,0.55,3.02,1.82,12.89,8.28,0,26.93,17.33,0,0,58.35,0,4.82,13.8,0,0,267.34,0,0,7.87,0,0,4.2,9.49,0,0.5,0
 84-94,0,0,3.82,0,65.16,0,8.24,40.93,17.31,8.74,46.94,20.96,1.94,0.8,0.94,16.67,0,14.63,19.56,0,32.02,21.07,0,1.64,81.09,5.19,17.81,16.98,0,0,801.91,0,0,14.45,0,0,5.67,40.65,0.84,0,0
 96-106,0,0,2.85,0,70.55,3.61,4.07,58.57,10.61,0,85.67,40.47,0,0,0,23.57,0,15.32,11.54,0,25.25,39.06,1.16,2.58,102.48,0,12.73,9.32,0,0,741.63,0,0,12.33,0,0,2.82,48.22,3.89,3.18,3.69
108-118,0,0,1.77,3.32,143.74,0,22.35,78.97,19.08,0,66.23,56.6,0,0,1.6,24.77,1.64,30.47,21.59,0,25.95,41.74,0,1.36,65.25,0,10.57,42.46,0,0.76,758.76,0,0,12.03,0.44,0,7.44,81.17,0,0.96,0
120,0,0,0,4.41,77.75,0,13.52,29.02,7.99,0,87.47,48.95,0,0,0,13.8,0,3.54,21.01,0,43.29,21.11,0,0,48.48,1.03,2.47,8.57,0,0,332.01,0,0,7.68,0,0,0,25.17,0,0,0
