stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,slow.muscle,somites,spinal.cord,vasculature
 14-21,1.03,0,0,0,0,0,0,0,0,0,0.91,0,0,0.96,0,1.85,0,0
 24-34,1.01,1.18,0.61,0,0,0,0,0,0,0.75,6.25,0,2.62,0,0,0,0,0
 36-46,0,1.7,0,0,0,0,0,0,0,0,2.02,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.07,0.61,0,1.53,0,0,9.55,0.38,0,0,0.76,0,1.14,0
 60-70,0,4.58,0,0,0.79,0,0,0.95,0,0,3.08,0,0,0,0,0,0,0
 72-82,0.69,0,0,0.57,0.97,0,0,1.94,0,0,9.14,0,0,0,0,0,0,0.68
 84-94,0,0,0,0,1.38,0,0,8.11,0,0,1.16,0,0,0,0,0,0,0
 96-106,0,0,0,0,6.47,0,0.79,0.93,0.71,0,0,0,0,0,0,0,0,0
108-118,0,0.48,0,0,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,8.68,0,0,9.87,0,0,0,0,0,0,0
