stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,278.92,6178.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264.6,0,0,0,0,0,0,0,0,0,0
  5-6,407.82,4039.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.44,18.98,0,0,38.86,0,64.63,0,0,0,0,0,0,0,0,0,0
  7-9,42.05,98.5,85.38,0,0,0,266.15,0,0,0,0,76.58,0,0,0,0,0,0,0,0,0,0,2211.78,116.64,0,0,1396.76,0,5.5,43.29,0,0,0,0,0,0,0,0,0
 10-12,0,80.39,75.41,0,17.35,0,83.94,0,0,0,0,18.91,0,0,0,0,0,0,0,0,0,0,1385.58,17.39,0,0,704.82,0,8.17,26.4,0,58.71,0,0,0,0,0,0,0
 14-21,0,0,11.88,67.53,36.01,0,62.86,0,0,21.76,3.07,0,0.89,0,2.12,0,0,3.21,65.57,0,0,32.67,1442.64,20.42,3.29,8.88,25.22,0,15.31,0.9,120.63,1.05,0.81,30.65,328.48,0,7.64,0,0
 24-34,0,0,3.95,22.27,10.59,0,264,0.95,1.32,25,0,0,1.72,1.85,1.44,0,2.26,1.38,111.86,0,0.91,37.35,1694.78,4.7,7.23,8.23,0,0,22.56,0,0.93,0,0,6.03,272.46,0,17.46,0,2.18
 36-46,0,0,0,17.67,1.25,0,430.1,16.36,0,29.65,1.53,0,1.61,5.39,0,3.93,1.55,2.55,83.86,1.16,2.03,29.16,962.08,0,2.47,5.24,0,0,7.54,0.81,3.76,0.63,0,0,151.2,0,18.57,0,0
 48-58,0,0,0,6.24,0.37,0,367.51,1.1,2.14,27.21,0.51,0,0,0.79,16.94,4.52,0,1.04,64.05,0.39,6.45,14.68,343.78,1,2.55,1.23,0,0,1.11,0,0,0,0,0,38.96,0,6.59,0,2.59
 60-70,0,0,0,8.38,0,0,167.06,4.37,0,39.76,4.69,0,0,0,0,0,3.35,1.56,45.18,0,10.3,22.65,148.96,0,0.7,0.83,0,0,2.78,0,0,0,0,0,5.41,0,0,0,9.01
 72-82,0,0,0,4.74,2.35,0,89.32,0,4.46,54.86,2.07,0,0.54,0.89,0.52,0,3.3,3.06,79.69,0,8.84,11.42,137.5,0.5,4.68,1.32,0,0,1.74,0,0,0,0,0,4.44,1.55,9.78,0.73,4.97
 84-94,0,0,0,10.55,3.63,0,80.38,1.16,3.2,29.15,4.59,0,0,0,1.53,0,0,1.35,53.85,0,4.01,15.45,132.6,2.29,1.05,3.69,0,2.68,3.65,0,0,1.09,0,0,0.63,0,8.52,0,0
 96-106,0,0,0,11.05,2.67,0,65.85,0.62,0.81,37.9,0.78,0,3.25,4.64,0,2.51,1.48,0,58.61,0.68,2.22,1.33,134.2,0,10.31,4.39,0,7.11,8.04,0,0,0.67,0,0,2.61,3.94,7.82,1.98,0
108-118,0,0,0,7.14,4.48,0,78.33,1.37,3.56,62.82,1.99,0,0.47,5.19,0,2.1,0.51,0,85.08,1.41,4.63,16.82,197.09,1.72,8.36,5.04,0,1.37,12.62,0,0,0,0,0,4.44,0,17.72,1.65,0
120,0,0,0,46.42,10.24,1.71,108.22,0,3.49,72.27,0,0,0,4.75,1.35,1.18,0,0,69.12,0,3.46,21.72,243.68,0,15.31,0,0,0,1.07,0,0,0,0,0,20.88,0,2.82,4.27,0
