stage,axial,blastomeres,endoderm,epidermis,eye,hatching.gland,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,xanthophores
  3-4,748.73,15081.32,0,0,0,0,0,0,0,0,563.1,0,0,0,0,0
  5-6,304.22,4674.88,0,0,0,11.32,107.58,0,0,28.1,57.22,0,0,0,0,0
  7-9,10.31,6.37,5.52,0,7.72,9.44,283.11,4.79,0,66.2,0,18.08,0,0,0,0
 10-12,0,9.13,15.27,0,35.99,0,24.82,0,0,16.94,0,11.51,0,0,0,0
 14-21,0,0,0,1.11,0,0,3.11,0,0,0,0,2.93,5.37,0.8,2.85,0
 24-34,0,0,0,2.34,0.83,0,1.75,0,0,0,0,0,0,0,1.2,0
 36-46,0,0,0,8.03,0,0,0,0,0,0,0,0.81,0,0,1.4,0
 48-58,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0
 60-70,0,0,0,0,1.52,0,10.63,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,7.67,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,1.03,0,0,0,0,0,0,0,0,0.77
 96-106,0,0,0,0,0,0,0.58,0,0,0,0,0,0,0,0,0
120,0,0,0,0,4.46,0,0,0,0,0,0,0,0,0,0,0
