stage,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,spinal.cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,1.01,0,0
 24-34,0,0,0,0,0,0,1.22,0,0,0,0,0,0,3.45,0,0,0.89,0,3.07,0
 36-46,0,0,0,21.87,0,0,0,0,0,0,0,0.61,0.88,8.47,0.96,0,0,0,3.1,0
 48-58,0,0,0,147.4,0,0.71,0,0,0,0,0,2.1,2.55,21.44,0,1.08,0,6.84,6.04,2.12
 60-70,0,0,0,456.37,0,0,0,4.97,0,0,0,6.04,0,12.64,0,0,0,0,0,0
 72-82,3.46,0,0,484.47,0.95,0,0,5.23,0,0,0,10.81,0.57,30.08,0,0,0,0,6.33,0
 84-94,0.91,0,0,557.48,0.75,0.83,2.91,0.59,0,0.62,0,10.58,0,21.74,0,0,2.31,0,0,0.58
 96-106,0.56,0,0,573.47,1.04,0,0,3.58,0,0,0,7.73,0,15.16,0,0,1.09,0,0,0
108-118,0,1.46,4.57,578.83,0,2.58,0,0,1.1,0,1.37,3.09,1.86,21.98,0.56,0,0,0,0,0
120,6.91,1.94,0,700.69,0,6.78,0,0,0,2.85,4.02,2.88,0,49.14,0,0,0,0,0,0
