stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,80.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.41,0,0,0,0,0,0,0,0,0
  7-9,3.78,0,0,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.07,0,11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.76,0,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.12,0,0.82,5.17,0,4.5,0,0,0,0,0,0,0,0,0,0,0,12.45,0,4.62,62.22,1.29,15.01,0,0,0,0,0,0,0,80.72,0,0,0,0,0
 24-34,0,0.8,0,0,0,0,13.87,0,0,0,0,0,0,0,0,0,0,0,8.58,0,2.8,147.19,0,194.57,1.43,0,0,1.83,0,0,0.78,48.33,0,0,3.11,0,0
 36-46,0,0.85,0,1.07,0,0,84.44,0,0,0,0.89,0,0,0,0,0,0,0,3.96,0.92,0.97,360.34,0.88,331.37,3.03,0,4.12,1.56,0,0,0,92.51,0,0,0,0,0
 48-58,0,2.34,0,0.83,0,0,441.19,0,0,0,15.45,0,0.5,0,0,0,0,0,21.37,0.46,1.74,413.16,0,192.91,1.44,0,0,0.46,0,0,0,143.55,0,0,1.05,0.78,0
 60-70,0,0,0,0,0.71,0,1198.86,0,0,0,18.07,0,0.92,0,0,9.62,0,0,9.1,0.64,1.42,182.95,0,176.6,0.9,0,0.82,4.45,0,0,0,48.26,0,0,0,0,7.32
 72-82,0,8.06,0,4.25,0,0,789.23,0,0,0,48.99,7.6,0,0.59,0.7,0,0,2.93,24.38,3.58,0.84,284.97,0,196.46,1.51,0,0,1.22,0,0,2.68,35.28,0,0,22.05,0,6.26
 84-94,0,11.97,0,3.09,0,0,955.3,0,0,3.34,30.27,0.65,0,0,0,0,0.83,0,23.98,2.57,1.19,188.57,0,192.4,1,0,0,0.82,1.4,0.74,1.96,18.09,0,0,53.95,0,0
 96-106,0,21.54,0,22.56,10.72,0,2004.8,0,0.82,1.99,71.39,23.03,0,12.62,0.87,0,0,3.61,14.32,0,1.28,269.86,0,432.78,0.65,0,0,15.78,0,0.87,7.42,29.51,0.61,1.23,28.4,0.93,2.89
108-118,0,32.6,0,13.99,2.98,0,2407.84,0,0.42,0,64.36,2.57,0.51,4.12,0,0,0,0,20.45,0,0.51,351.27,0,277.38,2.6,0,0,2.41,0,0,0,11.29,1.33,0,32.81,2.26,3.32
120,0,21.41,0,15.36,0,13,1768.88,1.01,0,0,76.24,22.12,0,0,0,0,6.85,0,60.32,1.38,0,498.67,0,218.66,0,0,9.74,3.49,0,0,0,0,6.72,3.24,76.67,0,16.34
