stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,45.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.7,0,0,0,0,0,0,0,0,0,8.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,16.78,0,0,0,0,0,0
 14-21,0,0,6.5,0,0,1.2,0,0,0,4.64,0,0,27.84,0,0.82,0,2.05,0.98,11.2,0,0
 24-34,0,0.74,0,0,0,0,0,0,0,3.09,0,3.18,101.89,0,0,0,0,0,25.71,0,0
 36-46,0,0,3.82,0,0,0,0,0,0,1.54,0,0,357.97,2.04,0,0,0,0,66.05,0,0
 48-58,0,1.7,37.62,0,0,8.9,0,0,0,6.45,0,0.42,560.1,1.53,0,0,0,0,53.12,0,0.63
 60-70,0,2.83,112.79,0,0,0.79,0,4.6,0,1.36,3.05,1.76,1001.51,0,0,0,0,0,106.41,1.51,0
 72-82,0,1.71,122.24,0,0.89,2.09,0.66,0,0,0.8,0,0,792.17,1.69,0,0,0,0,104.01,1.3,6.09
 84-94,0,1.23,100.3,2.49,0,2.59,0,0,2.83,8.79,1.31,0,579.94,0,0,1.2,0,0,49.82,0,0
 96-106,0,0.64,33.22,1,0,4.69,0,0,0,2.26,0,0,469.89,0,0,0,0,0,8.92,0,0
108-118,0,5.73,96.79,0,0.5,5.04,0,0,1.01,2.31,0,0.57,592.94,0,0,0,0,0,29.49,0,0
120,0,10.65,113.18,0,1.67,1.62,0,0,0,0,0,2.35,648.78,0,0,0,0,0,34.12,0,0
