stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,5.01,0,0,0,0,0,0,0,0,0,0,0,17.3,0,2.36,0,3.99,0,0,0,0,0,0,1.53,0,0,0,0,0,0
 36-46,0,13.57,0,1.66,0,2.87,0,0,0,0,0,0,0,35.52,0,12.31,8.18,13.37,0,0,0,0,0,0,0,1.33,0,0,0,0,0
 48-58,0,13.7,0,10.99,0.38,4.97,0,0,0,0,0,0.63,0,92.96,0,14.43,27.82,4.9,0,0.44,0,0,0.68,0,0,0.47,0,0,0,0,0
 60-70,0,17.85,0,11.18,3.7,2.59,0,0,0,0,0,1.07,0,159.01,0,21.03,20.86,0,0.72,0,0,5.82,0,0,0,0,0,0.65,0,9.21,0
 72-82,0,20.89,0.63,29.14,0,7.85,1.8,0,1.46,0,3.69,0.74,0,244.86,0,20.52,49.92,0,0,0,0,18.93,0,0,0,0,0,6.14,1.16,29.21,0
 84-94,1.04,43.76,0,50.65,0,5.36,0,0.6,0,1.11,13.56,2.91,0,215.13,24.3,20.25,24.03,0,0,0,0,13.12,0,0,0,0.98,0,2.74,0,22.24,0
 96-106,0,46.31,0,7.72,3.6,8.35,11.63,0.77,1.52,0,15.01,4.55,0,310.07,2.56,10.51,36.85,0.64,0.56,2.24,0,31.97,0,2.13,0,0,0.56,6.62,0,24.61,0
108-118,0,70.5,0.72,62.2,2.08,0.48,3.3,0.49,0.69,0,15.37,2.12,0,348.53,4.32,6.43,54.99,1.97,1.14,1.42,0,70.39,0,1.69,0,0.64,0.42,9.09,0.94,38.88,2.49
120,0,49.87,0,16.34,1.03,0,7.09,0,1.17,0,0,0,5.66,390.65,13.3,1.26,25.76,0,0,5.75,0,46.11,0,0,0,0,0,1.52,0,51.12,0
