stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.02,4.69,0,0,343.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,25.64,0,0,0,0,12.73,0,0,0,0,11.29,0,0,0,0,0,0,3107.81,26.24,0,0,1128.64,0,0,0,0,4.89,34.03,0,0,0,0,0
 14-21,0,0,0,1.9,3.99,25.89,0,0,0,195.6,0,0,0,0,1.29,6.66,0,759.14,2.55,0,0.95,5.19,0,1.05,0,0,4.37,1606.9,0,0,0,0,0
 24-34,0,0,0.83,0.76,0,44.23,0,1.01,0.95,215.76,0,0,0,0,0,17.83,5.22,2268.99,0,1.18,2.25,0,0,0,0,10.79,0.75,1132.06,0,0,0,0,0.75
 36-46,0,0,0,1.28,0,98.3,0,0,0,306.76,0,0,0,0,0,9.38,0.94,1487.77,0,2.39,0,0,5.79,0,0,0,0,1236.84,0,0,1.13,0,0
 48-58,0,0,0,12.71,1.54,231.43,4.57,0,0,818.29,0,2.79,0,0.44,0,23.58,3,1083.41,2.79,0,4.07,0,5.46,0,0.62,0,0,1002.07,0,0,0,0,8.51
 60-70,0,0,0,2.75,0,260.61,0.6,1.4,0,386.96,0,0,0,0,0,13.67,0.92,368.74,0,0,0,0,0,0,0.73,0,0,269.46,0,0,0,0,0
 72-82,0,0.5,0,2.6,0,153.22,0,0,6.88,220.79,0,0,1.86,0,0,6.35,1.18,221.24,0,1.21,0.54,0,1.31,0,0,0,0,150.28,1.36,1.84,0,0,0
 84-94,0,0,0,3.15,1.25,159.67,0,0,0,190.74,0,0,0,0,0,11.35,2.48,177.34,0,0,0,0,0,0,0,0,0,91.26,0,0.62,0,2.45,0
 96-106,0,0,0,2.92,0,92.56,0,0,0,151.82,0,0,0,0,0,7.69,0,114.36,0,1.51,0,0,1.34,0,0,0,0,21.09,0,0,0,0,0
108-118,0,0,0,0,0,87.48,0,0,1.94,98.22,0,0,0.64,0,0,10.4,0,164.11,0,0,0,0,0,0,0,0,0,26.31,0,0,0,0,0
120,0,0,0,0,0,158.06,0,0,0,108.94,0,1.18,0,0,0,22.5,0,178.1,3.89,8.55,0,0,0,0,0,0,0,19.8,0,0,0,0,0
