stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,20.87,459.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,0,0,0,0,0,0,0
  5-6,0,414.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.15,0,0,0,13.43,0,0,0,0,0,0,0,0
  7-9,7.41,0,3.26,0,0,0,0,0,0,0,0,0,0,0,0,0,130.15,0,0,0,47.93,0,0,0,0,0,0,0,0
 10-12,0,0,7.2,0,0,8.81,0,0,0,0,0,0,0,0,0,0,84.26,0,0,0,27.86,0,0,0,0,0,0,0,0
 14-21,0,0,0,3.62,0.84,0,0,0,0,1,0,0,0,0.83,0,1.77,27.45,0,1.54,0,0,0,2.08,0,0.85,14.34,0,0,0
 24-34,0,0,0,3.97,0,8.74,0,0,0.68,0,0,0.62,0,13.29,0,2.22,114.13,4.6,0.75,2.07,0,3.66,0,0,1.47,20.87,0,1.43,0
 36-46,0,0,0,0,0.6,9.24,0,0,1.75,0,0,0,0,3.07,0,1.32,76.71,0,0,0,0,1.9,0,2.28,0,11.35,0,0.64,0
 48-58,0,0,0,0,0,13.63,0.85,0,2.85,0,0,0,9.27,4.04,0,1.85,46.71,0,0,0,0,0,0,0,0,5.86,0,0,2.68
 60-70,0,0,0,1.5,0,25.19,0,0,1.59,0,0,0,1.15,10,0.65,1.01,91.72,0,5.13,0,0,0,0,0,0,6.77,0,0,0
 72-82,0,0,0,0,0,41.66,0,0.55,3.74,0,0.51,0,0,7.12,1.17,1.75,47.42,0,0,0,0,2.21,0,0,0,1.78,0,0.65,0
 84-94,0,0,0,0,0,17.24,0,0,3.59,0,0,0,0,4.4,0,0.55,15.02,0,0,0,0,2.34,0,0,0,0,0.71,0,0
 96-106,0,0,0,1.08,0,13.75,0,0,2.25,0,0,0,0.92,15.2,0,1.46,18.09,0,0.89,0,0,0,0,0,0,2.33,0,3.19,0
108-118,0,0,0,0.68,0,22.13,0.48,0,0.48,0,0,0,0,9.4,0,0.62,24.82,0,0,0,0,1.78,0,0,0,5.05,0,0,0
120,0,0,0,17.02,0,0,0,0,0,0,0,0,0,2.78,0,0,32.85,0,0,0,0,0,0,0,0,0,0,0,0
