stage,blastomeres,epidermis,erythrocytes,eye,glial,hatching_gland,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,vasculature
  3-4,55.02,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.11,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,16.39,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.41,0,0,0,1.11,0
 24-34,0,0,0,2.51,0,0,0,0,8.59,0,0,0,0.83,0
 36-46,0,0,0,0.78,0,0,0,0,10.54,0,0,0,3.22,0
 48-58,0,0.41,0,0,1.97,0,0,0,12.41,0,0,0,2.26,0
 60-70,0,0,0,0,0,1.77,0,0.74,21.85,0,6.79,1.17,6.99,0
 72-82,0,0,0,3.5,1.39,0,0,0,22.22,1.48,0,0.55,8.39,0
 84-94,0,0,0,0,0,0,4.23,0,1.2,0,0,0,10.09,0
 96-106,0,0,0,3.54,0.64,0,7.63,0,31.62,2.36,0,0,0,0.87
108-118,0,0,0,5.69,0,0,0,0,13.82,2.04,0,1.05,4.77,0
120,0,0,12.9,0,16.25,0,0,0,0,0,0,4.05,0,2.37
