stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,hatching_gland,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,13.94,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,13.44,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,30.08,4.49,0,0,0
 10-12,0,0,5.61,0,0,6.81,0,0,15.15,3.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.55,0,0,0,0.95
 36-46,0,0,0,0,0,0,0,0,10.06,0,0,0,0
 48-58,0,0,0,1.76,0,0,0,0,13.51,0,0.43,0,0
 60-70,0,0,0,5,0,0,1.09,0.68,20.27,0,0,0,0
 72-82,0,0,0,4.69,0,0,0,0.88,0.85,0,3.57,0,0
 96-106,0,0,0,0,0,0,0,0,1.58,0,0,0,0
108-118,0,0,0,0,3.53,0,0,0,0,0,0,1.77,0
