stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,44.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,70.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,18.17,0,0,6.14,0,0,0,10.09,0,0,0,0,0,0,46.21,12.75,0,10.47,0,0,0,0,0,0
 10-12,5.71,12.48,0,0,8.23,0,0,0,0,0,0,0,0,0,0,87.89,0,0,36.72,8.5,0,7.42,0,0,0
 14-21,0,0,3.72,1.82,0,0,0,0,0,0,0,0.84,0,0,0,20.41,0,0,0.88,1.16,1,0,3.72,4.82,0.89
 24-34,0,0,0.81,0,2.31,0,0.61,1.49,0,2.06,0,2.05,0,0,2.76,29.8,0,0,0,0,0,0,0,6.85,0
 36-46,0,0,0,0,4.31,0,0,0,0,0,0,0,0.63,1.42,0.55,27.22,0,0,0,0,0,0,0,2.64,0
 48-58,0,0,0,0,1.77,0,0,0.88,0,0,0,2.85,0,0.4,0.49,6.13,0,0.87,0,0,0,0,0,3.98,0
 60-70,0,0,0,0.62,0.71,0,0,0,0,0,0,0,0,0,0,3.66,0,0,0,0,0,0,0,6.58,0
 72-82,0,0,0,0,0.83,1.61,0,0,0,0,0,1.66,0,0,0,0.49,0,2.07,0,0,0,0,0,16.11,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34,0,0,0,0,0,0,0,1.67,1.07
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.94,0,0,0,0,0,0,0,0,0
108-118,0,0.74,0,0,0,0,0,0,0,0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
