stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,hatching.gland,heart,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,32.25,1199.68,0,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0,0,0,0,0
  5-6,69.64,613.33,0,0,0,0,0,0,0,0,0,23.01,0,0,0,7.68,0,0,0,0,0,0
  7-9,9.67,8.89,5.05,0,0,8.19,0,3.3,0,0,0,48.95,0,0,25.12,0,8.6,0,0,0,0,0
 10-12,0,0,4.62,0,0,5.86,0,0,0,0,0,85.09,10.2,0,65.33,0,9.77,0,0,0,0,0
 14-21,0,0,1.33,3.11,0.89,0,0,0,0,4.97,1.28,12.71,0.81,0,0,0,14.88,0.81,0.92,3.57,0,0.98
 24-34,0,0,0,0,0,1.17,0,0,0,3.42,0.97,7.91,0,0.74,0,0,0,0,2.43,9.92,0,0.74
 36-46,0,0,0,0,0,0.68,0.87,0,0,0,0,4.98,0,0,0,0,6.97,0,0,1.36,0,0
 48-58,0,0,0,0,0,0,1.85,0,0,0.44,0,0,0,0,0,0,1.4,0,0,2.27,0,0
 60-70,0,0,0,3.55,0,7.29,0.65,0,0.7,0,0,5.1,0,0,0,0,0.85,0,0,6.12,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,8.87,0,0.49,0,0,0.56,0,0,0,0,0
 84-94,0,0,0,1.32,0,0,0,0,0,0,0,2.83,0,0,0,0,0,0,0,0,4.42,6.27
 96-106,0,0,0,2.49,0,0,0,0,0,1.87,0,1.68,0,0,0,0,1.99,0,0,0,1.43,0
108-118,0,0,0,1.01,0,1.62,0,0,0,1.96,0.43,4.49,0,0,0,0,4.61,0,0,0,12.32,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,2.41,0
